Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;123,52;124,90;123,24;124,90;1.256.558;156.545.346
2021-12-29;124,60;124,74;122,96;123,56;1.004.964;124.476.226
2021-12-28;124,00;125,26;123,54;124,88;1.049.070;130.796.876
2021-12-27;123,40;124,48;122,82;124,14;908.818;112.520.855
2021-12-23;122,74;123,54;122,06;123,52;975.828;120.246.642
2021-12-22;122,18;122,74;120,96;122,74;941.208;114.930.121
2021-12-21;121,76;121,90;120,14;121,40;1.249.030;151.331.987
2021-12-20;120,00;121,22;119,06;120,50;1.652.721;199.005.711
2021-12-17;122,24;123,62;121,42;123,52;4.024.892;495.198.829
2021-12-16;123,50;123,80;122,02;122,38;2.470.449;303.221.690
2021-12-15;120,06;121,60;120,06;121,14;1.476.391;178.674.035
2021-12-14;122,52;123,18;119,82;119,96;1.611.120;194.798.196
2021-12-13;120,90;123,42;120,56;122,50;2.151.377;263.500.317
2021-12-10;117,70;119,84;117,66;119,38;1.869.869;222.481.321
2021-12-09;118,56;119,36;117,50;118,42;1.302.502;154.266.459
2021-12-08;119,60;120,08;118,18;118,34;1.721.052;204.502.994
2021-12-07;118,50;119,64;117,86;119,64;2.900.111;345.248.806
2021-12-06;114,96;116,50;113,78;116,30;2.472.737;286.075.333
2021-12-03;115,26;115,68;113,42;114,16;2.543.198;290.997.334
2021-12-02;115,50;116,16;113,98;114,12;2.562.336;293.710.147
2021-12-01;114,12;117,14;113,30;117,08;3.108.716;360.052.505
2021-11-30;116,04;116,30;113,18;113,18;5.898.909;671.989.745
2021-11-29;116,00;117,70;116,00;116,80;2.682.604;313.621.527
2021-11-26;116,72;119,08;115,22;115,22;3.677.375;429.334.041
2021-11-25;119,48;120,08;119,04;119,82;1.075.091;128.594.019
2021-11-24;120,10;120,24;117,08;118,94;1.890.121;224.122.251
2021-11-23;120,58;120,82;119,16;119,54;2.095.330;250.852.155
2021-11-22;125,22;125,44;121,66;121,66;1.746.585;214.112.884
2021-11-19;125,02;126,38;124,32;125,88;3.301.394;415.153.943
2021-11-18;125,38;125,66;124,04;124,76;1.690.303;210.784.036
2021-11-17;125,56;126,48;125,36;125,46;1.393.879;175.161.785
2021-11-16;124,72;125,96;124,50;125,86;1.248.941;156.581.604
2021-11-15;124,70;125,18;123,66;124,72;1.323.699;164.720.352
2021-11-12;126,34;127,44;123,60;125,10;2.238.636;281.004.754
2021-11-11;127,12;127,40;126,18;127,14;861.715;109.436.613
2021-11-10;127,98;128,46;126,72;127,68;1.354.462;172.946.055
2021-11-09;128,06;129,06;127,66;128,32;1.126.756;144.600.813
2021-11-08;128,80;129,54;128,26;128,98;899.419;115.908.734
