Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;488,25;501,00;487,50;497,75;;
2021-12-29;489,75;491,75;481,00;488,25;;
2021-12-28;481,75;494,75;477,25;489,75;;
2021-12-27;488,75;488,75;478,00;482,25;;
2021-12-23;494,25;495,00;484,00;489,00;;
2021-12-22;472,75;495,75;472,50;494,25;;
2021-12-21;472,25;478,00;459,75;472,75;;
2021-12-20;475,25;477,50;465,25;471,00;;
2021-12-19;479,25;479,25;478,00;478,00;;
2021-12-18;479,00;479,25;479,00;479,25;;
2021-12-17;487,25;487,75;465,50;479,25;;
2021-12-16;486,00;494,75;479,75;482,75;;
2021-12-15;472,25;487,75;471,25;484,50;;
2021-12-14;492,25;492,75;468,50;471,75;;
2021-12-13;490,75;493,25;483,25;492,00;;
2021-12-12;490,25;491,00;490,25;490,25;;
2021-12-11;490,25;490,50;490,25;490,25;;
2021-12-10;492,25;493,75;483,75;490,25;;
2021-12-09;498,50;499,25;485,50;493,00;;
2021-12-08;492,75;502,00;483,75;499,00;;
2021-12-07;480,50;493,25;478,50;493,25;;
2021-12-06;491,25;497,50;473,25;479,50;;
2021-12-05;488,75;489,25;488,75;489,25;;
2021-12-04;489,75;489,75;488,25;488,25;;
2021-12-03;501,50;508,00;486,75;489,75;;
2021-12-02;521,50;522,50;490,75;501,50;;
2021-12-01;560,50;567,00;511,00;518,50;;
2021-11-30;509,50;567,00;509,50;558,50;;
2021-11-29;511,00;538,00;511,00;518,50;;
2021-11-28;514,00;516,00;511,00;511,00;;
2021-11-27;518,00;518,00;514,00;514,00;;
2021-11-26;490,75;519,00;481,75;519,00;;
2021-11-25;495,25;502,00;490,75;500,50;;
2021-11-24;489,75;502,00;480,25;493,75;;
2021-11-23;505,00;505,50;481,75;489,25;;
2021-11-22;520,00;527,00;502,50;505,00;;
2021-11-21;520,00;520,00;518,00;518,00;;
2021-11-20;520,00;520,00;520,00;520,00;;
2021-11-19;510,50;520,00;507,50;520,00;;
2021-11-18;505,50;513,00;505,50;509,50;;
2021-11-17;502,50;509,00;501,50;505,00;;
2021-11-16;509,50;513,50;500,50;503,50;;
2021-11-15;513,50;517,00;505,50;509,50;;
2021-11-14;513,50;513,50;513,50;513,50;;
2021-11-13;513,50;513,50;513,50;513,50;;
2021-11-12;513,50;516,00;506,50;513,50;;
2021-11-11;514,50;521,50;506,00;513,00;;
2021-11-10;526,50;528,00;505,50;513,50;;
2021-11-09;530,50;531,50;519,00;527,00;;
2021-11-08;520,50;535,00;519,50;531,50;;
2021-11-07;520,50;520,50;520,50;520,50;;
2021-11-06;520,50;520,50;520,50;520,50;;
2021-11-05;535,00;536,00;508,00;520,50;;
2021-11-04;536,50;537,00;526,00;535,00;;
2021-11-03;525,50;536,00;524,00;536,00;;
2021-11-02;533,00;534,00;522,00;526,50;;
2021-11-01;531,50;534,50;528,50;533,50;;
2021-10-31;531,50;531,50;531,50;531,50;;
2021-10-30;531,50;531,50;531,50;531,50;;
2021-10-29;535,00;536,00;521,50;531,50;;
2021-10-28;528,00;536,00;518,50;535,50;;
2021-10-27;556,50;569,00;516,50;527,00;;
2021-10-26;570,50;574,50;554,50;556,50;;
2021-10-25;585,50;590,50;567,50;570,50;;
2021-10-24;585,50;585,50;585,50;585,50;;
2021-10-23;585,50;585,50;585,50;585,50;;
2021-10-22;583,50;591,00;574,50;585,50;;
2021-10-21;573,00;585,00;570,00;583,50;;
2021-10-20;576,50;590,00;563,00;573,00;;
2021-10-19;582,00;582,50;569,00;576,50;;
2021-10-18;582,00;591,00;573,50;582,00;;
2021-10-17;582,50;582,50;582,00;582,50;;
2021-10-16;582,50;582,50;582,00;582,50;;
2021-10-15;581,50;597,50;578,50;582,50;;
2021-10-14;617,50;621,50;577,00;581,00;;
2021-10-13;576,50;626,00;576,50;616,50;;
2021-10-12;558,50;586,50;555,00;575,50;;
2021-10-11;573,50;577,50;556,50;558,50;;
2021-10-10;573,50;573,50;573,50;573,50;;
2021-10-09;573,50;573,50;573,50;573,50;;
2021-10-08;595,50;597,00;571,50;573,50;;
2021-10-07;576,50;608,00;554,00;595,50;;
2021-10-06;600,00;601,00;568,50;576,00;;
2021-10-05;565,50;611,50;563,00;601,00;;
2021-10-04;606,00;609,00;562,50;565,50;;
2021-10-03;606,50;606,50;606,00;606,50;;
2021-10-02;606,50;606,50;606,50;606,50;;
2021-10-01;661,00;661,50;596,50;606,50;;
2021-09-30;626,50;677,50;615,00;662,50;;
2021-09-29;583,50;640,50;583,00;624,00;;
2021-09-28;641,00;643,00;579,50;583,00;;
2021-09-27;663,50;673,50;641,00;641,00;;
2021-09-26;662,50;663,00;662,50;663,00;;
2021-09-25;662,50;662,50;662,50;662,50;;
2021-09-24;701,50;702,00;647,00;662,50;;
2021-09-23;654,50;702,50;653,50;702,50;;
2021-09-22;660,00;668,00;642,50;653,50;;
2021-09-21;671,00;676,50;652,00;659,00;;
2021-09-20;671,00;697,00;643,50;665,50;;
2021-09-19;678,00;678,00;676,00;676,00;;
2021-09-18;677,00;677,00;677,00;677,00;;
2021-09-17;675,50;699,00;666,00;677,00;;
2021-09-16;658,00;682,50;657,50;675,00;;
2021-09-15;655,00;676,00;647,50;660,00;;
2021-09-14;714,50;715,50;632,00;652,50;;
2021-09-13;777,50;780,50;696,00;714,50;;
2021-09-12;776,50;777,50;776,50;777,50;;
2021-09-11;776,50;776,50;776,50;776,50;;
2021-09-10;786,00;795,50;775,50;776,50;;
2021-09-09;818,50;823,50;764,50;780,50;;
2021-09-08;826,50;833,50;809,00;822,50;;
2021-09-07;816,00;843,00;786,00;826,50;;
2021-09-06;749,00;828,00;749,00;817,50;;
2021-09-05;749,00;749,00;749,00;749,00;;
2021-09-03;720,00;766,00;704,00;749,00;;
2021-09-02;692,00;721,50;682,50;720,00;;
2021-09-01;663,50;692,00;663,50;692,00;;
2021-08-31;687,50;708,50;634,00;663,50;;
2021-08-30;691,50;698,00;679,00;687,50;;
2021-08-29;691,50;691,50;691,50;691,50;;
2021-08-28;691,50;691,50;691,50;691,50;;
2021-08-27;673,00;691,50;673,00;691,50;;
2021-08-26;674,50;693,00;644,50;673,00;;
2021-08-25;659,50;674,50;655,00;674,50;;
2021-08-24;628,00;662,50;627,50;659,50;;
2021-08-23;602,00;630,50;602,00;628,00;;
2021-08-22;602,00;602,00;602,00;602,00;;
2021-08-21;602,00;602,00;602,00;602,00;;
2021-08-20;604,50;613,00;589,00;602,00;;
2021-08-19;619,50;620,50;585,00;606,50;;
2021-08-18;622,50;631,00;616,50;620,50;;
2021-08-17;592,00;623,00;590,00;620,50;;
2021-08-16;603,00;603,50;585,00;593,00;;
2021-08-15;605,00;605,00;604,00;604,00;;
2021-08-14;605,00;605,00;605,00;605,00;;
2021-08-13;613,50;618,00;601,00;605,00;;
2021-08-12;613,50;615,00;603,00;613,50;;
2021-08-11;602,50;618,00;596,50;614,00;;
2021-08-10;595,00;603,50;589,50;602,50;;
2021-08-09;581,50;597,00;578,00;595,00;;
2021-08-08;581,50;581,50;581,50;581,50;;
2021-08-07;581,50;581,50;581,50;581,50;;
2021-08-06;587,00;594,00;578,50;581,50;;
2021-08-05;571,50;591,50;569,00;587,00;;
2021-08-04;589,00;589,00;552,00;571,00;;
2021-08-03;543,00;590,00;543,00;589,00;;
2021-08-02;524,50;552,00;517,50;542,00;;
2021-08-01;523,50;523,50;523,50;523,50;;
2021-07-31;523,50;523,50;523,50;523,50;;
2021-07-30;502,00;529,00;498,50;523,50;;
2021-07-29;499,00;507,00;495,50;503,00;;
2021-07-28;495,50;506,50;490,75;499,00;;
2021-07-27;481,50;499,00;473,75;495,75;;
2021-07-26;474,50;487,00;469,75;482,00;;
2021-07-25;475,50;475,50;475,50;475,50;;
2021-07-24;475,50;475,50;475,50;475,50;;
2021-07-23;483,25;486,75;473,00;475,50;;
2021-07-22;465,25;483,50;457,50;483,25;;
2021-07-21;465,00;476,00;456,50;465,25;;
2021-07-20;456,50;469,50;456,00;465,50;;
2021-07-19;467,00;471,25;453,75;456,50;;
2021-07-18;468,00;468,00;467,50;468,00;;
2021-07-17;468,00;468,00;468,00;468,00;;
2021-07-16;472,50;474,25;466,50;468,00;;
2021-07-15;475,25;476,75;466,50;472,50;;
2021-07-14;488,00;491,25;470,75;475,25;;
2021-07-13;478,00;496,25;469,50;488,25;;
2021-07-12;462,50;481,50;460,50;478,00;;
2021-07-11;462,50;462,50;462,50;462,50;;
2021-07-10;462,50;462,50;462,50;462,50;;
2021-07-09;461,00;467,00;457,75;462,50;;
2021-07-08;468,00;468,00;454,25;460,50;;
2021-07-07;449,00;468,25;445,00;468,00;;
2021-07-06;430,50;449,50;430,00;449,00;;
2021-07-05;418,00;431,75;417,25;430,75;;
2021-07-04;418,50;418,50;418,25;418,50;;
2021-07-03;418,50;418,50;418,50;418,50;;
2021-07-02;422,25;423,75;406,75;418,50;;
2021-07-01;423,50;425,75;414,75;422,25;;
2021-06-30;423,00;425,75;416,25;423,00;;
2021-06-29;414,75;426,00;412,75;423,00;;
2021-06-28;401,75;415,25;400,75;415,00;;
2021-06-27;401,75;401,75;401,75;401,75;;
