Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;492,00;502,00;487,50;499,00;2.798;1.389.254
2021-12-29;490,50;492,00;481,00;488,00;4.577;2.228.349
2021-12-28;478,00;489,50;476,50;483,50;6.746;3.250.408
2021-12-27;483,00;485,50;478,00;482,00;2.907;1.399.541
2021-12-23;490,50;490,50;483,50;486,00;2.387;1.162.740
2021-12-22;474,00;490,50;474,00;490,00;7.972;3.869.903
2021-12-21;470,50;478,00;459,50;474,00;4.937;2.320.993
2021-12-20;468,50;475,50;464,00;470,00;11.684;5.485.018
2021-12-17;481,00;481,00;465,00;479,00;4.427;2.105.047
2021-12-16;488,50;493,00;479,50;482,00;2.772;1.342.328
2021-12-15;474,50;488,00;474,00;482,50;4.570;2.201.548
2021-12-14;488,00;488,00;473,00;476,50;2.399;1.148.412
2021-12-13;488,00;493,00;484,00;486,00;4.505;2.203.489
2021-12-10;495,50;495,50;484,00;490,00;3.621;1.774.119
2021-12-09;490,00;495,00;485,50;493,00;2.236;1.098.593
2021-12-08;492,00;502,00;483,50;487,00;4.385;2.161.682
2021-12-07;477,50;492,50;477,00;492,00;5.251;2.568.648
2021-12-06;491,00;496,50;473,50;476,00;5.064;2.433.949
2021-12-03;503,00;508,00;486,00;490,50;4.993;2.490.896
2021-12-02;512,00;513,00;490,00;495,00;4.034;2.013.698
2021-12-01;550,00;550,00;510,00;519,00;7.213;3.788.016
2021-11-30;518,00;552,00;515,00;543,00;8.701;4.691.924
2021-11-29;525,00;528,00;512,00;516,00;5.953;3.084.543
2021-11-26;483,00;520,00;480,00;515,00;7.898;4.029.995
2021-11-25;496,50;503,00;490,50;500,00;2.564;1.278.751
2021-11-24;491,00;495,00;480,00;493,00;3.897;1.896.128
2021-11-23;501,00;501,00;480,00;489,00;6.842;3.345.699
2021-11-22;521,00;521,00;503,00;506,00;3.467;1.772.107
2021-11-19;510,00;521,00;509,00;519,00;11.000;5.669.595
2021-11-18;507,00;514,00;506,00;508,00;3.208;1.635.795
2021-11-17;503,00;513,00;501,00;506,00;8.000;4.052.349
2021-11-16;510,00;510,00;500,00;504,00;4.413;2.220.131
2021-11-15;509,00;514,00;505,00;511,00;3.234;1.649.081
2021-11-12;509,00;516,00;508,00;513,00;4.035;2.068.088
2021-11-11;514,00;520,00;505,00;510,00;4.462;2.281.947
2021-11-10;523,00;523,00;505,00;517,00;5.443;2.809.566
2021-11-09;531,00;531,00;517,00;524,00;3.050;1.597.518
2021-11-08;519,00;537,00;519,00;529,00;4.696;2.488.883
2021-11-05;531,00;537,00;508,00;520,00;10.036;5.231.126
2021-11-04;534,00;537,00;526,00;532,00;17.666;9.369.139
2021-11-03;530,00;535,00;523,00;533,00;5.837;3.092.781
2021-11-02;532,00;533,00;523,00;528,00;3.109;1.644.353
2021-11-01;535,00;535,00;528,00;534,00;14.474;7.682.266
2021-10-29;527,00;537,00;516,00;531,00;3.896;2.067.349
2021-10-28;527,00;536,00;516,00;536,00;6.118;3.222.533
2021-10-27;564,00;564,00;515,00;523,00;8.631;4.678.105
2021-10-26;573,00;573,00;555,00;564,00;3.562;2.007.199
2021-10-25;584,00;584,00;568,00;570,00;3.079;1.765.591
2021-10-22;583,00;592,00;575,00;583,00;6.004;3.506.591
2021-10-21;575,00;585,00;567,00;585,00;5.697;3.308.250
2021-10-20;578,00;579,00;563,00;574,00;6.369;3.640.445
2021-10-19;577,00;577,00;569,00;573,00;3.443;1.977.184
2021-10-18;586,00;588,00;573,00;577,00;2.977;1.729.990
2021-10-15;580,00;588,00;578,00;580,00;2.855;1.659.902
2021-10-14;618,00;625,00;576,00;580,00;4.729;2.776.952
2021-10-13;599,00;630,00;592,00;599,00;5.433;3.295.051
2021-10-12;559,00;587,00;555,00;577,00;2.525;1.443.824
2021-10-11;575,00;576,00;559,00;566,00;2.290;1.296.770
2021-10-08;600,00;600,00;572,00;575,00;2.958;1.713.243
2021-10-07;582,00;608,00;552,00;604,00;2.487;1.431.189
2021-10-06;602,00;602,00;568,00;570,00;3.994;2.311.962
2021-10-05;572,00;611,00;565,00;611,00;4.246;2.485.013
2021-10-04;599,00;604,00;565,00;567,00;9.404;5.450.878
2021-10-01;640,00;642,00;595,00;601,00;4.472;2.757.564
2021-09-30;615,00;667,00;615,00;667,00;6.586;4.260.927
2021-09-29;592,00;621,00;592,00;617,00;6.951;4.260.233
2021-09-28;637,00;637,00;582,00;592,00;10.104;6.064.441
2021-09-27;666,00;674,00;642,00;642,00;4.347;2.845.568
2021-09-24;695,00;698,00;645,00;649,00;6.188;4.080.315
2021-09-23;658,00;690,00;658,00;690,00;4.501;3.046.970
2021-09-22;668,00;670,00;644,00;651,00;2.502;1.630.947
2021-09-21;669,00;675,00;652,00;656,00;5.829;3.874.839
2021-09-20;676,00;678,00;644,00;656,00;10.206;6.750.208
2021-09-17;670,00;703,00;667,00;677,00;85.467;58.029.249
2021-09-16;664,00;684,00;664,00;666,00;9.562;6.427.427
2021-09-15;656,00;677,00;647,00;668,00;11.400;7.584.315
2021-09-14;700,00;700,00;632,00;653,00;23.749;15.700.247
2021-09-13;780,00;780,00;695,00;715,00;11.970;8.679.509
2021-09-10;783,00;795,00;778,00;778,00;5.247;4.118.898
2021-09-09;814,00;814,00;762,00;793,00;11.442;9.048.961
2021-09-08;826,00;831,00;809,00;815,00;7.644;6.265.451
2021-09-07;823,00;834,00;785,00;827,00;9.811;7.961.656
2021-09-06;755,00;829,00;754,00;818,00;12.822;10.228.036
2021-09-03;722,00;766,00;717,00;757,00;6.265;4.630.086
2021-09-02;684,00;721,00;684,00;720,00;5.716;4.036.137
2021-09-01;673,00;685,00;673,00;682,00;4.656;3.157.403
2021-08-31;689,00;710,00;634,00;665,00;11.880;7.986.931
2021-08-30;688,00;690,00;679,00;688,00;4.128;2.835.892
2021-08-27;681,00;688,00;673,00;686,00;6.150;4.187.222
2021-08-26;666,00;692,00;644,00;672,00;7.144;4.793.746
2021-08-25;657,00;666,00;654,00;665,00;4.048;2.676.419
2021-08-24;631,00;663,00;631,00;660,00;5.633;3.649.576
