Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;22,615;22,76;22,37;22,525;;
2021-12-29;22,825;22,97;22,565;22,615;;
2021-12-28;22,78;23,02;22,76;22,82;;
2021-12-27;22,75;22,925;22,65;22,79;;
2021-12-23;22,725;22,895;22,435;22,765;;
2021-12-22;22,445;22,735;22,29;22,72;;
2021-12-21;22,01;22,615;21,89;22,455;;
2021-12-20;22,14;22,265;21,515;21,97;;
2021-12-19;22,35;22,35;22,29;22,295;;
2021-12-18;22,345;22,35;22,345;22,35;;
2021-12-17;22,685;22,705;22,115;22,345;;
2021-12-16;22,155;23,005;22,075;22,435;;
2021-12-15;22,075;22,255;21,69;22,105;;
2021-12-14;22,285;22,455;21,865;22,06;;
2021-12-13;22,735;22,885;22,125;22,27;;
2021-12-12;22,71;22,74;22,71;22,71;;
2021-12-11;22,71;22,715;22,71;22,71;;
2021-12-10;23,045;23,085;22,66;22,71;;
2021-12-09;22,965;23,225;22,605;23,075;;
2021-12-08;23,495;23,825;22,845;22,97;;
2021-12-07;23,095;23,59;23,075;23,50;;
2021-12-06;23,02;23,205;22,705;23,06;;
2021-12-05;22,91;22,93;22,91;22,93;;
2021-12-04;22,945;22,945;22,885;22,885;;
2021-12-03;23,29;23,595;22,715;22,945;;
2021-12-02;23,19;23,555;22,87;23,295;;
2021-12-01;23,635;23,93;23,095;23,11;;
2021-11-30;23,93;24,04;23,075;23,555;;
2021-11-29;23,785;24,615;23,76;24,24;;
2021-11-28;23,565;23,625;23,545;23,56;;
2021-11-27;23,85;23,85;23,565;23,565;;
2021-11-26;23,94;24,575;23,535;23,89;;
2021-11-25;23,955;24,575;23,81;24,475;;
2021-11-24;23,91;24,05;23,44;23,875;;
2021-11-23;23,855;23,89;23,065;23,875;;
2021-11-22;24,345;24,49;23,615;23,875;;
2021-11-21;24,34;24,34;24,29;24,29;;
2021-11-20;24,34;24,34;24,34;24,34;;
2021-11-19;24,455;24,685;23,935;24,35;;
2021-11-18;24,62;24,835;24,355;24,375;;
