Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;22,72;22,76;22,37;22,49;1.020.022;22.971.990
2021-12-29;22,98;22,99;22,66;22,75;1.025.582;23.376.678
2021-12-28;22,84;23,02;22,77;22,87;1.187.371;27.200.036
2021-12-27;22,73;22,92;22,69;22,77;832.970;18.995.549
2021-12-23;22,76;22,90;22,44;22,78;1.286.019;29.249.622
2021-12-22;22,35;22,73;22,29;22,67;1.270.122;28.716.630
2021-12-21;22,07;22,62;21,96;22,38;1.832.667;40.963.617
2021-12-20;21,92;21,97;21,52;21,81;2.290.484;49.794.741
2021-12-17;22,51;22,51;22,12;22,43;2.848.382;63.652.321
2021-12-16;22,22;22,53;22,19;22,39;2.812.409;62.896.352
2021-12-15;21,93;22,26;21,69;21,81;2.002.503;43.925.362
2021-12-14;22,28;22,47;21,86;21,94;2.338.246;51.514.493
2021-12-13;22,70;22,89;22,12;22,20;1.977.913;44.412.811
2021-12-10;22,90;23,03;22,66;22,66;1.583.040;36.037.791
2021-12-09;22,95;23,23;22,60;23,11;1.825.441;41.989.685
2021-12-08;23,60;23,82;22,85;22,88;2.193.317;50.699.866
2021-12-07;23,13;23,55;23,08;23,51;2.018.734;47.125.496
2021-12-06;23,00;23,18;22,69;23,06;1.399.749;32.144.638
2021-12-03;23,40;23,60;22,75;22,86;2.422.519;56.112.240
2021-12-02;23,52;23,54;22,87;23,20;3.069.326;71.139.718
2021-12-01;23,66;23,93;23,54;23,67;1.954.210;46.332.106
2021-11-30;23,80;23,85;23,08;23,44;3.682.426;86.336.824
2021-11-29;24,15;24,62;23,99;24,09;1.928.698;46.867.495
2021-11-26;23,96;24,58;23,64;24,18;3.003.160;72.733.591
2021-11-25;23,89;24,57;23,82;24,51;1.860.895;45.286.962
2021-11-24;23,91;24,06;23,45;23,78;1.718.282;40.810.812
2021-11-23;23,68;23,83;23,06;23,71;2.823.394;66.287.858
2021-11-22;24,27;24,35;23,61;23,93;1.985.053;47.460.788
2021-11-19;24,48;24,68;23,93;24,30;3.066.443;74.556.492
2021-11-18;24,65;24,83;24,36;24,48;1.297.978;31.906.016
2021-11-17;24,58;24,73;24,45;24,60;1.490.470;36.667.505
2021-11-16;24,41;24,89;24,31;24,64;1.800.186;44.393.701
2021-11-15;24,44;24,47;24,14;24,43;1.705.387;41.481.642
2021-11-12;24,36;24,74;24,12;24,45;2.257.371;55.136.530
2021-11-11;25,55;25,59;24,24;24,32;3.910.680;96.239.448
2021-11-10;24,66;25,55;24,51;25,45;3.654.649;92.218.586
2021-11-09;23,85;24,61;23,71;24,58;2.978.858;72.555.601
2021-11-08;23,00;24,09;22,99;23,96;3.745.805;89.133.047
2021-11-05;23,30;23,32;22,67;22,82;4.622.735;105.917.650
2021-11-04;23,19;24,01;23,11;23,37;3.615.028;85.156.631
2021-11-03;23,79;23,93;22,66;22,91;6.076.612;140.888.753
2021-11-02;25,08;25,15;24,38;24,51;1.914.002;47.126.382
2021-11-01;24,91;25,13;24,85;25,03;1.163.534;29.103.465
2021-10-29;25,15;25,19;24,66;24,82;1.971.893;49.036.294
2021-10-28;24,78;25,27;24,66;25,23;1.820.864;45.641.537
2021-10-27;24,62;24,85;24,48;24,77;1.183.037;29.227.112
2021-10-26;23,80;24,70;23,76;24,67;2.197.570;53.745.729
