Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;66,01;66,51;65,69;66,06;;
2021-12-29;66,42;66,72;65,87;65,98;;
2021-12-28;65,79;66,80;65,45;66,39;;
2021-12-27;65,62;66,05;65,18;65,83;;
2021-12-23;65,05;65,91;64,61;65,73;;
2021-12-22;63,33;65,04;63,29;65,03;;
2021-12-21;64,55;64,99;62,96;63,42;;
2021-12-20;62,98;64,51;62,13;64,41;;
2021-12-19;64,17;64,17;63,84;63,86;;
2021-12-18;64,16;64,17;64,16;64,17;;
2021-12-17;63,83;65,05;63,05;64,16;;
2021-12-16;65,78;68,82;64,69;65,11;;
2021-12-15;65,84;65,99;64,63;65,47;;
2021-12-14;66,84;67,00;65,56;65,75;;
2021-12-13;67,60;67,71;65,98;66,74;;
2021-12-12;67,46;67,64;67,46;67,46;;
2021-12-11;67,46;67,50;67,44;67,46;;
2021-12-10;67,05;67,59;66,15;67,46;;
2021-12-09;67,01;67,64;66,90;67,23;;
2021-12-08;66,70;67,19;66,33;67,03;;
2021-12-07;64,44;66,86;64,20;66,81;;
2021-12-06;64,40;64,78;63,66;64,13;;
2021-12-05;63,52;63,69;63,51;63,66;;
2021-12-04;63,80;63,80;63,32;63,32;;
2021-12-03;64,52;65,64;63,52;63,80;;
2021-12-02;64,77;65,19;63,57;64,70;;
2021-12-01;65,42;65,85;62,84;64,16;;
2021-11-30;63,51;65,78;63,43;64,92;;
2021-11-29;63,44;65,07;62,80;65,07;;
2021-11-28;61,41;61,96;61,20;61,96;;
2021-11-27;61,96;61,96;61,41;61,41;;
2021-11-26;63,19;64,69;61,39;61,96;;
2021-11-25;64,07;64,87;63,70;64,60;;
2021-11-24;65,20;65,20;62,61;63,83;;
2021-11-23;65,72;65,73;64,24;65,08;;
2021-11-22;66,23;67,50;65,72;65,79;;
2021-11-21;66,21;66,21;66,01;66,01;;
2021-11-20;66,21;66,21;66,21;66,21;;
2021-11-19;66,53;67,15;65,67;66,21;;
2021-11-18;63,87;66,74;63,79;66,32;;
2021-11-17;60,02;64,00;60,02;63,79;;
2021-11-16;60,20;60,43;59,52;60,12;;
2021-11-15;59,88;60,22;59,14;60,20;;
2021-11-14;59,91;59,97;59,91;59,97;;
2021-11-13;59,91;59,91;59,91;59,91;;
2021-11-12;60,27;60,47;59,41;59,91;;
2021-11-11;59,44;60,57;58,95;60,18;;
2021-11-10;59,56;59,75;58,67;59,34;;
2021-11-09;59,91;60,38;59,28;59,67;;
2021-11-08;60,50;61,10;59,74;59,99;;
2021-11-07;60,45;60,52;60,44;60,52;;
2021-11-06;60,41;60,45;60,41;60,45;;
2021-11-05;60,72;62,22;60,05;60,41;;
2021-11-04;60,11;62,18;57,65;60,75;;
2021-11-03;60,16;61,41;59,23;60,08;;
2021-11-02;59,13;60,38;58,61;60,25;;
2021-11-01;57,83;59,26;57,72;59,23;;
2021-10-31;57,83;57,91;57,83;57,89;;
2021-10-30;57,83;57,83;57,83;57,83;;
2021-10-29;59,20;59,32;56,62;57,83;;
2021-10-28;59,00;59,62;58,20;59,36;;
2021-10-27;59,71;60,25;58,87;58,91;;
2021-10-26;59,93;60,35;59,02;59,71;;
2021-10-25;58,90;59,83;58,89;59,83;;
2021-10-24;58,88;58,88;58,88;58,88;;
2021-10-23;58,89;58,89;58,86;58,88;;
2021-10-22;58,77;59,38;58,57;58,89;;
2021-10-21;58,60;59,46;58,20;58,65;;
2021-10-20;57,86;59,15;57,57;58,70;;
2021-10-19;57,03;58,06;56,77;57,92;;
2021-10-18;57,09;57,28;56,73;57,02;;
2021-10-17;57,23;57,27;57,21;57,24;;
2021-10-16;57,23;57,27;57,19;57,23;;
2021-10-15;57,49;57,51;56,82;57,23;;
2021-10-14;56,54;57,43;56,11;57,39;;
2021-10-13;55,51;56,74;55,20;56,47;;
2021-10-12;55,18;55,93;54,75;55,37;;
2021-10-11;55,53;55,68;54,69;55,18;;
2021-10-10;55,44;55,44;55,44;55,44;;
2021-10-09;55,41;55,44;55,41;55,44;;
2021-10-08;55,70;55,84;54,78;55,41;;
2021-10-07;55,64;55,96;54,76;55,73;;
2021-10-06;55,59;55,83;54,25;55,36;;
2021-10-05;55,28;56,09;55,01;55,94;;
2021-10-04;55,22;55,66;54,83;55,25;;
2021-10-03;55,48;55,48;55,44;55,48;;
2021-10-02;55,50;55,50;55,48;55,48;;
2021-10-01;55,66;56,21;54,86;55,50;;
2021-09-30;55,84;56,68;55,83;56,25;;
2021-09-29;57,53;57,92;55,53;55,69;;
2021-09-28;58,21;58,32;56,84;57,37;;
2021-09-27;60,09;60,29;58,07;58,23;;
2021-09-26;59,67;59,87;59,62;59,85;;
2021-09-25;59,67;59,67;59,65;59,67;;
2021-09-24;59,63;60,32;59,23;59,67;;
2021-09-23;59,27;59,87;58,92;59,77;;
2021-09-22;60,39;60,61;58,79;59,07;;
2021-09-21;58,97;60,39;58,31;60,03;;
2021-09-20;58,70;58,92;57,85;58,50;;
2021-09-19;58,90;58,90;58,84;58,86;;
2021-09-18;58,90;58,90;58,90;58,90;;
2021-09-17;58,02;59,41;58,00;58,90;;
2021-09-16;57,25;58,07;56,85;57,98;;
2021-09-15;57,51;57,58;56,89;57,31;;
2021-09-14;55,74;57,58;55,74;57,43;;
2021-09-13;57,23;57,56;55,17;55,74;;
2021-09-12;57,21;57,23;57,21;57,23;;
2021-09-11;57,21;57,21;57,21;57,21;;
2021-09-10;57,60;57,60;56,75;57,21;;
2021-09-09;57,49;57,67;57,08;57,40;;
2021-09-08;59,45;59,47;56,70;57,59;;
2021-09-07;59,17;59,66;58,64;59,43;;
2021-09-06;58,83;59,61;58,62;59,23;;
2021-09-05;58,81;58,81;58,81;58,81;;
2021-09-03;60,19;60,29;58,03;58,81;;
2021-09-02;59,82;60,28;59,70;60,13;;
2021-09-01;59,24;60,10;58,99;59,86;;
2021-08-31;59,79;60,08;58,84;59,14;;
2021-08-30;59,71;59,84;59,24;59,69;;
2021-08-29;59,71;59,73;59,71;59,73;;
2021-08-28;59,71;59,71;59,71;59,71;;
2021-08-27;59,57;59,81;59,18;59,73;;
2021-08-26;59,95;60,20;59,06;59,55;;
2021-08-25;60,53;60,90;59,51;59,97;;
2021-08-24;60,85;61,23;60,44;60,55;;
2021-08-23;59,95;60,87;59,87;60,81;;
2021-08-22;59,87;59,87;59,87;59,87;;
2021-08-21;59,87;59,87;59,87;59,87;;
2021-08-20;59,82;60,43;59,30;59,87;;
2021-08-19;61,14;61,23;58,87;59,90;;
2021-08-18;60,84;61,53;60,46;61,14;;
2021-08-17;59,81;60,89;59,58;60,80;;
2021-08-16;59,42;59,91;58,92;59,85;;
2021-08-15;59,48;59,48;59,48;59,48;;
2021-08-14;59,48;59,48;59,48;59,48;;
2021-08-13;59,21;59,64;58,64;59,48;;
2021-08-12;58,49;59,27;58,13;59,21;;
2021-08-11;58,63;58,71;58,15;58,53;;
2021-08-10;58,81;59,52;58,11;58,65;;
2021-08-09;58,01;58,95;57,85;58,81;;
2021-08-08;58,05;58,05;58,05;58,05;;
2021-08-07;58,05;58,05;58,05;58,05;;
2021-08-06;58,58;58,74;57,63;58,05;;
2021-08-05;57,95;58,61;57,89;58,56;;
2021-08-04;57,05;58,69;56,89;57,93;;
2021-08-03;56,68;57,24;56,29;57,03;;
2021-08-02;55,63;56,98;55,63;56,62;;
2021-08-01;55,61;55,61;55,60;55,60;;
2021-07-31;55,61;55,61;55,61;55,61;;
2021-07-30;55,08;55,78;53,55;55,61;;
2021-07-29;55,15;55,56;54,63;55,14;;
2021-07-28;54,88;55,28;54,11;55,21;;
2021-07-27;54,69;54,99;54,34;54,88;;
2021-07-26;54,59;54,85;54,03;54,71;;
2021-07-25;54,61;54,61;54,61;54,61;;
2021-07-24;54,61;54,61;54,61;54,61;;
2021-07-23;54,97;55,32;54,55;54,61;;
2021-07-22;53,74;55,10;53,25;54,97;;
2021-07-21;53,71;54,13;53,22;53,72;;
2021-07-20;53,09;53,89;53,07;53,77;;
2021-07-19;53,18;53,65;52,75;53,05;;
2021-07-18;53,20;53,20;53,20;53,20;;
2021-07-17;53,20;53,20;53,20;53,20;;
2021-07-16;54,08;54,53;53,20;53,20;;
2021-07-15;53,61;54,19;53,31;54,08;;
2021-07-14;53,83;54,09;53,29;53,61;;
2021-07-13;54,33;54,36;53,74;53,83;;
2021-07-12;53,05;54,41;52,62;54,33;;
2021-07-11;53,09;53,09;53,09;53,09;;
2021-07-10;53,09;53,09;53,09;53,09;;
2021-07-09;53,49;54,13;52,84;53,09;;
2021-07-08;53,72;54,01;52,97;53,49;;
2021-07-07;52,38;53,93;52,36;53,72;;
