Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;66,48;66,50;65,82;65,82;386.335;25.504.347
2021-12-29;66,46;66,70;65,88;66,10;306.691;20.307.802
2021-12-28;65,48;66,80;65,40;66,50;276.652;18.366.326
2021-12-27;65,42;66,00;65,18;65,62;256.434;16.816.035
2021-12-23;65,28;65,92;64,62;65,66;568.568;37.192.500
2021-12-22;63,36;64,94;63,30;64,94;447.606;28.778.031
2021-12-21;64,50;64,58;62,94;63,12;800.443;50.724.223
2021-12-20;63,00;64,02;62,62;64,02;684.827;43.587.177
2021-12-17;64,12;64,88;63,04;63,96;1.437.500;91.628.336
2021-12-16;65,86;66,24;64,94;64,94;1.002.375;65.493.540
2021-12-15;65,56;65,98;64,64;65,00;780.073;50.812.084
2021-12-14;66,58;67,00;65,56;65,56;706.040;46.667.900
2021-12-13;67,30;67,44;66,00;66,48;513.981;34.261.651
2021-12-10;66,54;67,34;66,16;67,18;407.240;27.253.852
2021-12-09;67,00;67,66;66,92;67,20;835.708;56.216.420
2021-12-08;66,68;67,20;66,44;66,82;1.175.149;78.465.602
2021-12-07;64,02;66,84;64,02;66,62;982.606;65.053.280
2021-12-06;64,40;64,74;63,66;63,76;595.583;38.138.824
2021-12-03;64,14;65,62;63,62;63,78;1.050.469;67.804.490
2021-12-02;64,66;65,02;63,58;64,02;752.547;48.254.463
2021-12-01;64,74;65,26;62,88;65,00;761.215;49.026.346
2021-11-30;64,18;65,78;64,10;64,32;1.636.719;105.847.383
2021-11-29;64,00;64,56;63,44;64,46;940.831;60.363.989
2021-11-26;63,08;64,70;63,08;63,50;886.910;56.632.218
2021-11-25;63,94;64,88;63,76;64,18;557.312;35.808.370
2021-11-24;64,64;65,06;62,62;63,46;946.214;60.045.327
2021-11-23;65,24;65,24;64,26;64,70;975.332;63.105.723
2021-11-22;66,40;67,50;65,76;65,76;972.735;64.538.630
2021-11-19;66,48;67,14;65,88;66,38;928.575;61.716.201
2021-11-18;64,20;66,72;63,80;66,20;1.183.381;78.011.030
2021-11-17;61,00;63,92;60,96;63,78;1.381.240;87.478.994
2021-11-16;59,86;60,40;59,54;60,40;367.182;22.087.297
2021-11-15;59,66;60,12;59,16;60,00;539.416;32.266.165
2021-11-12;60,00;60,32;59,42;59,90;609.082;36.450.524
2021-11-11;59,38;60,48;58,96;60,26;488.290;29.290.587
2021-11-10;59,56;59,74;58,68;59,38;631.015;37.385.063
2021-11-09;60,00;60,34;59,30;59,52;567.441;33.872.285
2021-11-08;59,88;61,06;59,80;60,02;668.487;40.301.702
2021-11-05;61,04;62,22;60,06;60,22;891.036;53.961.606
2021-11-04;58,88;62,18;58,48;61,04;1.358.398;82.758.397
2021-11-03;60,12;61,40;59,18;59,98;1.091.675;65.870.359
2021-11-02;58,92;60,38;58,60;60,26;593.392;35.567.658
2021-11-01;57,88;59,06;57,80;59,00;649.251;38.071.015
2021-10-29;59,04;59,04;56,64;57,46;1.228.199;70.571.639
2021-10-28;58,68;59,48;58,22;59,46;567.012;33.585.467
2021-10-27;59,84;60,26;59,06;59,08;674.971;40.095.370
2021-10-26;59,76;60,34;59,04;59,76;595.064;35.567.080
2021-10-25;59,22;59,76;59,00;59,76;378.960;22.550.623
2021-10-22;58,86;59,42;58,86;59,04;395.266;23.351.737
2021-10-21;58,36;59,46;58,18;58,64;968.077;56.939.334
2021-10-20;57,72;59,16;57,54;58,70;724.847;42.520.483
2021-10-19;57,18;58,06;56,76;57,90;705.420;40.666.277
2021-10-18;57,04;57,26;56,76;57,00;447.367;25.494.044
2021-10-15;57,26;57,36;56,82;57,34;449.499;25.716.427
2021-10-14;56,58;57,10;56,12;56,94;526.062;29.873.486
2021-10-13;55,22;56,72;55,16;56,18;614.197;34.498.719
2021-10-12;54,98;55,92;54,76;55,34;466.764;25.900.693
2021-10-11;55,54;55,66;54,70;55,44;409.093;22.606.495
2021-10-08;55,56;55,74;54,80;55,52;519.453;28.827.503
2021-10-07;55,80;55,96;54,78;55,54;499.762;27.658.564
2021-10-06;55,92;55,92;54,22;55,12;610.941;33.550.761
2021-10-05;55,30;56,12;55,04;56,12;580.150;32.376.498
2021-10-04;54,98;55,64;54,84;55,14;802.521;44.294.204
2021-10-01;55,30;56,22;54,84;55,12;1.069.719;59.346.392
2021-09-30;56,14;56,68;55,96;56,18;1.011.420;56.903.660
2021-09-29;57,36;57,90;55,52;55,68;1.015.377;57.001.185
2021-09-28;57,94;58,16;56,84;57,18;1.041.133;59.651.081
2021-09-27;59,68;60,00;58,06;58,14;1.030.251;60.349.073
2021-09-24;59,62;60,32;59,24;59,66;596.060;35.591.139
2021-09-23;59,02;59,86;58,92;59,54;469.023;27.893.518
2021-09-22;60,34;60,46;58,84;58,84;578.508;34.206.720
2021-09-21;58,66;60,40;58,66;60,04;585.862;35.080.851
2021-09-20;58,04;58,90;57,84;58,56;1.046.545;61.248.321
2021-09-17;58,10;59,40;58,10;58,62;5.186.694;304.527.239
2021-09-16;57,00;57,86;56,86;57,80;658.778;37.975.812
2021-09-15;57,38;57,56;56,90;57,00;482.040;27.508.711
2021-09-14;56,00;57,30;55,80;57,30;742.239;42.184.977
2021-09-13;57,38;57,52;55,58;55,58;580.142;32.533.782
2021-09-10;57,22;57,42;56,80;57,28;589.344;33.708.435
2021-09-09;57,48;57,66;57,08;57,30;539.498;30.938.458
2021-09-08;59,20;59,34;56,68;57,56;886.969;51.116.485
2021-09-07;58,78;59,64;58,66;59,32;333.714;19.782.274
2021-09-06;58,98;59,04;58,62;58,78;421.550;24.800.491
