Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;151,90;152,42;151,04;152,16;;
2021-12-29;152,38;152,73;151,19;151,90;;
2021-12-28;151,00;153,05;150,43;152,36;;
2021-12-27;149,89;151,23;149,28;151,01;;
2021-12-23;147,97;150,18;147,74;149,92;;
2021-12-22;146,87;148,01;145,85;147,97;;
2021-12-21;145,48;147,13;144,14;146,88;;
2021-12-20;147,66;147,79;141,19;145,43;;
2021-12-19;147,88;147,88;147,82;147,82;;
2021-12-18;147,88;147,88;147,88;147,88;;
2021-12-17;149,95;150,06;147,12;147,88;;
2021-12-16;150,55;152,22;149,19;149,69;;
2021-12-15;148,05;150,50;147,18;150,50;;
2021-12-14;150,56;152,48;146,75;148,05;;
2021-12-13;151,29;153,58;150,07;150,54;;
2021-12-12;151,26;151,44;151,26;151,26;;
2021-12-11;151,26;151,28;151,26;151,26;;
2021-12-10;150,76;151,69;149,65;151,26;;
2021-12-09;151,97;152,88;150,19;150,79;;
2021-12-08;153,04;154,70;151,40;151,97;;
2021-12-07;148,60;153,41;148,60;153,06;;
2021-12-06;146,68;149,67;145,79;148,55;;
2021-12-05;146,55;146,58;146,55;146,58;;
2021-12-04;146,59;146,59;146,52;146,52;;
2021-12-03;148,57;150,10;145,63;146,59;;
2021-12-02;145,12;148,58;145,10;148,26;;
2021-12-01;141,91;148,36;141,91;145,03;;
2021-11-30;145,20;145,49;140,22;141,83;;
2021-11-29;144,69;148,20;143,61;145,50;;
2021-11-28;144,34;144,48;144,32;144,46;;
2021-11-27;144,55;144,55;144,34;144,34;;
2021-11-26;152,48;152,50;143,35;144,73;;
2021-11-25;152,12;154,12;151,97;154,04;;
2021-11-24;153,46;154,80;151,12;151,83;;
2021-11-23;155,64;155,64;152,84;153,35;;
2021-11-22;154,56;156,96;154,56;155,66;;
2021-11-21;154,56;154,56;154,53;154,53;;
2021-11-20;154,56;154,56;154,56;154,56;;
2021-11-19;154,91;156,65;154,06;154,56;;
2021-11-18;154,89;156,15;154,64;154,87;;
2021-11-17;153,17;156,55;152,92;154,86;;
2021-11-16;150,15;153,65;149,82;153,18;;
2021-11-15;148,50;150,24;145,28;150,15;;
2021-11-14;148,50;148,52;148,50;148,52;;
2021-11-13;148,50;148,50;148,50;148,50;;
2021-11-12;151,22;151,32;147,18;148,50;;
2021-11-11;146,54;152,42;145,76;151,20;;
2021-11-10;145,89;147,12;145,54;146,52;;
2021-11-09;145,93;147,39;145,37;145,91;;
2021-11-08;145,42;146,74;144,37;145,96;;
2021-11-07;145,38;145,42;145,38;145,42;;
2021-11-06;145,35;145,38;145,35;145,38;;
2021-11-05;145,76;145,83;143,12;145,35;;
2021-11-04;144,94;146,57;143,61;145,77;;
2021-11-03;144,64;145,28;143,57;144,92;;
2021-11-02;140,58;145,38;140,37;144,74;;
2021-11-01;140,34;141,79;140,17;140,71;;
2021-10-31;140,31;140,40;140,31;140,39;;
2021-10-30;140,31;140,31;140,31;140,31;;
2021-10-29;139,66;140,50;135,96;140,32;;
2021-10-28;140,64;140,66;138,95;139,86;;
2021-10-27;141,20;143,44;140,26;140,45;;
2021-10-26;139,47;141,88;139,08;141,20;;
