Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;151,18;152,68;150,94;152,68;881.579;134.277.666
2021-12-29;152,56;152,76;151,20;151,78;687.999;104.541.517
2021-12-28;151,14;153,06;150,40;152,82;581.094;88.672.920
2021-12-27;149,24;151,06;149,24;150,80;482.423;72.673.481
2021-12-23;148,40;150,22;148,16;150,22;795.339;118.880.516
2021-12-22;146,80;147,78;145,84;147,64;612.214;90.093.099
2021-12-21;145,90;146,68;144,16;146,58;795.532;116.127.421
2021-12-20;144,90;145,70;141,18;144,68;1.436.804;206.881.385
2021-12-17;149,50;150,04;147,12;147,90;2.836.145;419.889.464
2021-12-16;151,40;152,22;149,66;150,00;1.580.290;238.093.855
2021-12-15;148,52;149,30;147,96;148,56;886.773;131.752.599
2021-12-14;151,08;152,48;147,18;147,32;1.105.963;164.428.875
2021-12-13;151,20;153,58;150,06;150,56;1.162.994;176.061.608
2021-12-10;149,70;151,56;149,60;151,04;955.827;144.188.757
2021-12-09;152,18;152,88;150,20;151,02;800.581;120.981.512
2021-12-08;153,34;154,70;151,52;151,60;1.229.100;187.537.389
2021-12-07;149,84;153,40;149,84;153,10;1.656.906;252.734.883
2021-12-06;147,90;149,66;145,78;149,34;1.343.273;199.345.016
2021-12-03;149,90;150,20;146,00;146,54;1.780.441;263.193.073
2021-12-02;145,76;148,12;145,18;147,80;1.741.274;256.387.863
2021-12-01;142,70;148,34;142,40;148,02;1.553.916;227.560.742
2021-11-30;142,88;143,84;140,24;141,28;4.683.666;662.812.530
2021-11-29;147,22;148,14;143,62;144,56;1.624.422;236.172.873
2021-11-26;148,86;149,54;145,24;145,24;2.713.204;398.886.135
2021-11-25;153,00;154,00;152,48;153,58;799.414;122.628.188
2021-11-24;153,44;154,76;151,12;151,94;1.199.998;182.680.739
2021-11-23;154,90;155,58;152,84;153,34;1.273.420;195.983.438
2021-11-22;154,88;156,98;154,54;155,92;1.145.768;178.880.684
2021-11-19;155,28;156,64;154,06;155,20;2.542.424;395.507.381
