Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;130,45;131,25;130,175;130,475;;
2021-12-29;129,975;130,95;129,45;130,40;;
2021-12-28;128,30;130,30;128,10;129,95;;
2021-12-27;127,375;128,70;126,825;128,425;;
2021-12-23;128,05;128,125;126,65;127,50;;
2021-12-22;127,35;128,05;125,575;128,025;;
2021-12-21;128,60;129,275;127,075;127,475;;
2021-12-20;127,525;128,95;126,275;128,30;;
2021-12-19;128,75;128,75;128,425;128,425;;
2021-12-18;128,75;128,75;128,75;128,75;;
2021-12-17;130,375;131,90;128,075;128,75;;
2021-12-16;131,65;134,375;129,475;131,05;;
2021-12-15;129,35;131,425;128,825;131,375;;
2021-12-14;130,225;131,85;128,75;129,275;;
2021-12-13;130,20;131,05;129,525;130,125;;
2021-12-12;130,05;130,225;130,05;130,05;;
2021-12-11;130,05;130,10;130,05;130,05;;
2021-12-10;129,175;130,525;128,85;130,05;;
2021-12-09;129,10;130,425;128,975;129,35;;
2021-12-08;126,975;130,575;126,525;129,125;;
2021-12-07;125,45;127,10;124,775;127,05;;
2021-12-06;124,725;126,475;124,50;125,20;;
2021-12-05;124,075;124,20;124,075;124,175;;
2021-12-04;124,275;124,275;123,925;123,925;;
2021-12-03;125,40;126,625;123,875;124,30;;
2021-12-02;123,85;126,30;123,825;125,425;;
2021-12-01;124,95;126,05;122,45;123,50;;
2021-11-30;125,55;126,50;124,175;124,65;;
2021-11-29;124,825;126,725;124,675;126,45;;
2021-11-28;123,575;123,875;123,50;123,80;;
2021-11-27;124,20;124,20;123,575;123,575;;
2021-11-26;124,525;126,80;123,425;124,35;;
2021-11-25;126,75;127,60;125,775;126,40;;
2021-11-24;127,70;128,25;125,625;126,425;;
2021-11-23;130,90;131,00;126,65;127,525;;
2021-11-22;130,275;132,675;130,225;131,025;;
2021-11-21;130,225;130,225;130,00;130,00;;
2021-11-20;130,225;130,225;130,225;130,225;;
2021-11-19;129,90;132,025;129,65;130,225;;
2021-11-18;128,00;129,975;127,825;129,675;;
2021-11-17;126,375;129,075;126,075;127,875;;
2021-11-16;126,15;127,175;125,125;126,50;;
2021-11-15;125,65;126,60;125,45;126,15;;
2021-11-14;125,70;125,775;125,70;125,775;;
2021-11-13;125,70;125,70;125,70;125,70;;
2021-11-12;124,75;125,80;124,30;125,70;;
2021-11-11;124,30;125,225;123,50;124,675;;
2021-11-10;123,275;124,725;122,90;124,225;;
2021-11-09;122,10;123,525;122,075;123,35;;
2021-11-08;121,625;122,775;121,20;122,175;;
2021-11-07;121,55;121,65;121,525;121,65;;
2021-11-06;121,50;121,55;121,50;121,55;;
2021-11-05;123,675;124,225;120,025;121,50;;
2021-11-04;124,325;124,70;121,25;123,725;;
2021-11-03;123,05;125,025;122,975;124,275;;
2021-11-02;121,875;123,975;121,75;123,225;;
2021-11-01;120,30;122,125;119,875;122,05;;
2021-10-31;120,275;120,45;120,275;120,40;;
2021-10-30;120,275;120,275;120,275;120,275;;
2021-10-29;120,90;120,925;119,075;120,275;;
2021-10-28;120,025;121,375;119,875;121,15;;
2021-10-27;118,20;120,475;118,15;119,775;;
2021-10-26;117,65;120,025;115,55;118,175;;
2021-10-25;116,40;117,525;116,25;117,50;;
2021-10-24;116,35;116,35;116,35;116,35;;
2021-10-23;116,375;116,375;116,325;116,35;;
2021-10-22;116,05;117,225;115,85;116,375;;
2021-10-21;114,90;116,525;114,25;115,90;;
2021-10-20;114,475;115,95;113,225;115,10;;
2021-10-19;114,50;115,175;113,675;114,575;;
2021-10-18;114,60;114,975;112,90;114,475;;
2021-10-17;114,85;114,90;114,80;114,85;;
2021-10-16;114,85;114,90;114,75;114,85;;
2021-10-15;114,675;114,90;113,80;114,85;;
