Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;130,50;131,25;130,25;130,30;95.706;12.487.962
2021-12-29;130,30;130,95;129,55;130,55;124.290;16.222.250
2021-12-28;128,30;130,30;128,20;130,20;127.449;16.568.157
2021-12-27;127,05;128,70;126,75;128,05;99.773;12.776.224
2021-12-23;127,85;128,05;126,65;127,50;138.770;17.675.554
2021-12-22;127,30;127,70;125,55;127,70;153.509;19.512.769
2021-12-21;128,55;129,25;127,10;127,15;146.723;18.735.421
2021-12-20;127,50;128,95;126,30;127,60;225.644;28.817.678
2021-12-17;131,30;131,90;128,90;128,90;877.932;113.567.160
2021-12-16;131,85;132,30;129,50;131,20;366.493;47.967.303
2021-12-15;129,20;130,95;128,90;130,55;216.584;28.227.605
2021-12-14;130,95;131,80;128,85;129,05;315.339;40.858.541
2021-12-13;130,05;131,05;129,45;130,45;212.472;27.714.434
2021-12-10;128,95;130,50;128,80;129,85;228.286;29.648.080
2021-12-09;129,80;130,40;129,00;129,20;220.817;28.588.333
2021-12-08;127,15;130,55;127,00;128,90;267.875;34.580.435
2021-12-07;125,25;127,10;124,80;126,95;281.612;35.658.089
2021-12-06;125,30;126,55;124,50;124,85;298.163;37.291.195
2021-12-03;125,35;126,60;124,30;124,40;285.343;35.688.258
2021-12-02;125,60;126,30;124,70;125,00;348.259;43.602.911
2021-12-01;124,95;126,05;122,45;124,95;396.669;49.487.879
2021-11-30;125,35;126,50;124,50;124,50;1.566.973;195.313.718
2021-11-29;125,85;126,70;124,85;125,90;421.221;53.001.945
2021-11-26;124,25;126,75;124,20;125,35;357.521;44.907.781
2021-11-25;126,55;127,60;125,75;126,15;252.811;31.944.982
2021-11-24;127,75;128,25;125,65;126,25;289.027;36.554.473
2021-11-23;130,85;131,00;126,70;127,40;355.183;45.411.666
2021-11-22;131,60;132,65;130,95;131,30;249.096;32.782.302
2021-11-19;130,10;132,00;129,70;130,70;338.910;44.393.891
2021-11-18;128,00;129,95;127,90;129,95;224.193;29.016.220
2021-11-17;126,85;129,10;126,75;127,95;286.452;36.679.895
2021-11-16;126,25;127,15;125,15;127,05;188.259;23.843.762
2021-11-15;126,00;126,60;125,45;126,25;232.470;29.339.016
2021-11-12;124,65;125,80;124,15;125,80;195.966;24.594.292
2021-11-11;124,35;125,20;123,55;124,65;148.490;18.499.678
2021-11-10;123,70;124,75;123,00;124,65;294.255;36.551.962
2021-11-09;122,15;123,50;122,15;123,45;156.756;19.303.795
2021-11-08;121,40;122,75;121,20;122,20;230.753;28.138.649
2021-11-05;123,80;124,25;120,05;121,55;331.493;40.331.142
2021-11-04;124,60;124,90;121,25;123,85;285.797;35.313.135
2021-11-03;123,35;125,05;122,85;123,85;321.908;39.873.950
2021-11-02;122,00;123,95;121,70;123,35;305.485;37.642.048
2021-11-01;120,20;122,10;119,90;121,85;247.265;30.055.631
2021-10-29;120,05;120,25;119,05;119,55;283.504;33.888.799
2021-10-28;120,50;121,30;119,90;121,10;253.038;30.587.292
2021-10-27;118,20;120,55;118,20;120,15;336.176;40.285.028
2021-10-26;117,95;118,55;115,60;118,20;379.146;44.506.889
2021-10-25;116,90;117,65;116,25;117,15;230.320;26.957.854
2021-10-22;116,40;117,20;115,90;116,65;194.749;22.725.684
2021-10-21;114,70;116,50;114,25;116,00;228.106;26.446.545
2021-10-20;113,90;115,95;113,30;115,05;255.593;29.437.511
2021-10-19;114,75;115,15;113,70;114,45;144.525;16.538.082
2021-10-18;114,10;114,60;112,90;114,45;166.430;18.982.529
2021-10-15;114,45;114,60;113,85;114,30;225.957;25.822.010
2021-10-14;116,20;116,70;113,50;114,60;243.353;27.893.041
2021-10-13;112,40;114,50;112,10;114,10;209.861;23.897.579
2021-10-12;111,20;112,95;110,85;112,55;171.165;19.212.868
2021-10-11;112,45;112,75;111,15;112,10;228.237;25.557.611
2021-10-08;113,55;113,80;112,20;112,60;190.057;21.422.285
2021-10-07;114,15;114,45;112,95;113,55;325.605;36.978.053
2021-10-06;112,30;113,30;110,80;112,70;313.902;35.267.665
2021-10-05;112,80;113,70;112,35;112,80;187.192;21.121.098
2021-10-04;112,60;114,10;112,25;112,80;213.805;24.198.897
2021-10-01;112,95;113,85;112,35;113,00;335.236;37.870.253
2021-09-30;112,90;114,30;112,45;113,65;303.439;34.464.802
2021-09-29;113,25;115,20;112,35;112,45;214.216;24.196.899
2021-09-28;112,80;112,95;110,45;112,50;342.844;38.400.513
2021-09-27;116,90;117,00;112,70;112,80;302.722;34.406.368
2021-09-24;119,20;119,30;116,05;116,15;201.052;23.474.977
2021-09-23;119,00;119,80;118,55;119,30;171.663;20.481.781
2021-09-22;120,00;120,35;118,35;118,35;175.289;20.787.564
2021-09-21;117,95;119,95;117,35;119,55;272.234;32.450.655
2021-09-20;115,95;117,80;115,40;117,45;481.846;56.314.452
2021-09-17;120,50;120,90;116,35;116,35;1.868.566;218.081.634
2021-09-16;120,45;121,20;119,80;120,70;206.136;24.867.697
2021-09-15;120,15;120,45;119,85;120,25;200.284;24.070.966
2021-09-14;120,00;120,45;118,60;119,95;153.612;18.381.928
2021-09-13;121,10;121,55;119,90;120,00;175.675;21.159.676
2021-09-10;121,35;122,10;120,10;120,75;212.697;25.726.120
2021-09-09;119,50;121,90;119,25;121,25;236.441;28.614.909
2021-09-08;118,75;120,25;117,95;119,90;408.524;48.829.659
2021-09-07;119,00;119,25;117,50;118,65;301.286;35.714.028
2021-09-06;120,35;120,60;118,85;118,85;205.758;24.550.306
2021-09-03;120,55;121,00;118,95;119,95;192.883;23.138.279
2021-09-02;120,70;122,20;120,25;120,30;234.100;28.285.660
2021-09-01;120,70;120,85;118,45;120,60;284.998;34.225.586
2021-08-31;121,90;123,55;120,20;120,60;334.774;40.491.702
2021-08-30;120,70;121,90;120,65;121,80;114.366;13.906.152
2021-08-27;121,65;121,85;117,80;120,65;293.892;35.512.239
2021-08-26;122,75;122,75;121,85;122,70;135.725;16.630.310
2021-08-25;125,45;126,20;123,15;123,20;147.140;18.218.988
2021-08-24;126,65;127,05;125,70;125,85;105.355;13.275.911
2021-08-23;125,95;126,45;125,25;126,45;104.827;13.232.954
2021-08-20;125,00;125,80;124,25;125,50;110.835;13.883.120
2021-08-19;124,95;125,35;122,95;124,80;139.549;17.374.588
2021-08-18;125,20;126,30;124,90;125,20;120.478;15.106.809
2021-08-17;124,45;125,25;124,00;124,95;130.706;16.312.992
2021-08-16;124,15;124,45;123,30;124,45;124.998;15.530.613
2021-08-13;122,55;124,40;122,25;124,40;131.963;16.362.651
2021-08-12;124,10;124,35;122,65;122,65;223.432;27.455.831
2021-08-11;125,00;125,20;124,10;124,10;140.990;17.529.708
2021-08-10;125,30;125,85;124,30;124,80;182.964;22.862.445
2021-08-09;125,90;126,15;124,90;125,05;150.173;18.817.288
2021-08-06;126,00;127,15;125,10;125,85;281.918;35.529.682
2021-08-05;121,35;126,95;115,75;125,55;370.805;46.113.293
2021-08-04;123,90;124,65;123,75;123,90;213.362;26.467.454
2021-08-03;124,55;124,70;123,45;123,70;220.356;27.285.022
2021-08-02;124,55;124,60;123,25;124,35;140.676;17.459.198
2021-07-30;122,20;124,40;121,90;124,30;250.709;31.084.157
2021-07-29;123,50;123,55;121,85;122,65;151.702;18.593.907
2021-07-28;123,75;123,75;122,20;123,45;170.178;20.963.716
2021-07-27;121,25;123,65;121,25;123,10;169.611;20.867.728
2021-07-26;123,05;123,45;121,50;121,55;112.977;13.780.061
2021-07-23;122,35;123,00;122,15;122,85;124.727;15.305.659
2021-07-22;122,10;122,35;120,40;122,20;191.970;23.361.203
2021-07-21;122,35;122,60;121,00;121,75;154.698;18.834.359
2021-07-20;122,10;122,60;121,30;122,00;211.379;25.769.909
2021-07-19;122,05;122,20;120,35;122,00;169.476;20.605.255
2021-07-16;121,55;122,55;121,20;122,00;185.022;22.562.660
2021-07-15;120,55;122,40;120,30;121,15;180.219;21.884.410
2021-07-14;121,10;121,45;120,15;120,95;138.927;16.795.581
2021-07-13;120,65;121,90;120,50;121,35;229.924;27.887.231
2021-07-12;120,35;121,45;120,10;120,80;170.042;20.542.239
2021-07-09;120,35;121,25;120,05;120,20;176.752;21.276.659
2021-07-08;121,00;121,50;119,85;120,30;214.407;25.807.005
2021-07-07;119,05;121,45;118,70;121,45;286.973;34.685.967
2021-07-06;117,35;119,05;117,30;118,95;170.679;20.252.406
2021-07-05;118,35;118,85;117,40;117,55;122.017;14.367.486
2021-07-02;118,10;119,40;118,10;118,55;151.795;18.017.925
2021-07-01;118,15;119,15;117,15;118,45;190.554;22.536.809
2021-06-30;118,70;118,95;117,35;117,50;205.938;24.230.891
2021-06-29;118,30;118,90;117,95;118,75;178.167;21.143.503
2021-06-28;117,60;118,40;117,35;118,15;161.345;19.050.201
2021-06-25;117,50;117,85;116,55;117,25;149.796;17.561.519
2021-06-24;116,80;118,00;116,60;117,60;178.346;20.951.592
2021-06-23;118,00;118,40;116,50;116,50;213.612;24.962.972
2021-06-22;115,95;117,70;115,30;117,65;241.516;28.324.405
2021-06-21;114,45;116,40;114,35;116,40;218.805;25.336.085
2021-06-18;114,55;116,10;114,15;114,60;450.798;51.756.090
2021-06-17;113,65;113,95;112,15;113,85;243.160;27.583.073
2021-06-16;113,45;115,50;113,35;114,45;264.280;30.283.925
2021-06-15;112,85;113,40;112,15;113,40;255.302;28.872.040
2021-06-14;111,85;113,40;111,80;112,40;370.174;41.687.720
2021-06-11;110,55;111,90;110,55;111,60;286.308;31.942.528
2021-06-10;111,10;111,80;110,20;110,60;220.455;24.397.087
2021-06-09;112,25;112,30;110,40;110,90;296.265;32.936.736
2021-06-08;110,30;112,95;110,15;111,80;280.868;31.427.409
2021-06-07;110,05;110,60;109,70;110,35;132.781;14.652.389
2021-06-04;109,50;110,35;109,15;110,05;157.579;17.310.149
2021-06-03;108,30;109,20;107,85;109,15;127.854;13.928.064
2021-06-02;109,05;109,50;108,30;108,35;208.532;22.670.018
2021-06-01;108,65;109,85;108,45;108,60;134.436;14.655.023
2021-05-31;109,00;109,65;108,50;108,50;84.542;9.188.285
2021-05-28;108,90;110,10;108,20;109,25;143.205;15.664.793
2021-05-27;109,85;109,95;108,55;108,75;305.754;33.273.670
2021-05-26;109,55;110,90;109,50;110,00;217.988;24.028.088
2021-05-25;108,25;109,20;107,65;108,85;252.107;27.406.196
2021-05-21;107,45;108,10;107,00;108,00;217.192;23.424.880
2021-05-20;105,95;107,25;105,50;107,25;218.512;23.333.140
2021-05-19;104,50;105,35;103,35;105,35;211.009;22.114.370
2021-05-18;105,95;106,00;103,65;104,60;194.644;20.355.421
2021-05-17;104,15;105,50;103,90;105,00;173.118;18.159.086
2021-05-14;104,65;105,30;103,80;103,85;262.803;27.319.196
2021-05-13;104,00;104,80;102,95;104,35;111.599;11.635.467
2021-05-12;105,90;106,20;104,30;104,40;191.447;20.038.627
2021-05-11;106,40;106,70;104,70;106,10;173.703;18.369.973
2021-05-10;107,40;107,50;106,70;106,90;157.434;16.842.507
2021-05-07;107,70;108,25;106,50;107,20;194.838;20.864.423
2021-05-06;107,85;108,25;107,20;107,25;154.627;16.613.244
2021-05-05;106,05;109,30;106,05;108,60;214.943;23.301.413
2021-05-04;108,25;108,35;106,20;106,20;197.792;21.072.541
2021-05-03;107,65;108,50;107,15;108,05;118.438;12.789.353
2021-04-30;108,20;108,70;107,15;107,40;226.651;24.384.863
2021-04-29;108,25;109,15;107,90;108,20;251.762;27.259.422
2021-04-28;110,25;110,25;108,00;108,45;294.121;31.929.408
2021-04-27;110,10;111,20;109,60;110,05;241.052;26.549.361
2021-04-26;111,35;111,40;109,90;110,10;160.862;17.738.245
2021-04-23;110,80;111,70;110,55;111,05;220.029;24.435.955
2021-04-22;110,85;112,20;110,20;111,05;185.315;20.616.444
2021-04-21;109,60;110,95;108,90;110,95;176.995;19.570.428
2021-04-20;108,85;109,40;108,50;109,40;233.475;25.495.088
2021-04-19;109,30;110,35;108,75;108,80;248.606;27.100.733
2021-04-16;109,45;109,45;108,30;108,95;190.411;20.737.041
2021-04-15;109,00;109,80;108,90;109,30;242.648;26.519.677
2021-04-14;109,45;109,90;108,80;108,90;222.486;24.270.378
2021-04-13;107,30;110,25;107,30;109,10;353.688;38.544.769
2021-04-12;108,05;108,20;105,70;105,85;242.610;25.771.018
2021-04-09;105,75;108,20;105,40;108,05;238.626;25.708.921
2021-04-08;103,80;105,40;103,60;105,40;230.897;24.259.336
2021-04-07;104,60;104,75;103,45;103,75;184.045;19.107.690
2021-04-06;105,70;105,80;103,95;104,40;200.015;20.903.680
2021-04-01;104,10;104,75;103,40;104,75;178.676;18.672.870
2021-03-31;102,80;104,15;102,65;103,40;243.989;25.238.943
2021-03-30;103,55;103,75;102,40;102,70;190.886;19.623.481
2021-03-29;102,70;103,95;102,25;103,40;207.491;21.459.429
2021-03-26;102,05;102,30;101,25;102,15;142.536;14.533.984
2021-03-25;100,75;102,50;99,92;102,00;244.636;24.910.043
2021-03-24;102,20;103,20;100,70;100,90;278.731;28.228.266
2021-03-23;101,30;103,05;101,20;102,40;340.370;34.865.405
2021-03-22;99,76;101,75;98,62;101,30;322.889;32.614.323
2021-03-19;99,76;101,00;99,38;99,84;452.411;45.236.635
2021-03-18;101,70;101,70;99,26;100,25;241.094;24.145.898
2021-03-17;101,00;101,70;100,70;101,60;254.797;25.840.905
2021-03-16;100,65;101,05;99,68;101,00;242.245;24.424.970
2021-03-15;99,82;100,55;99,34;100,25;198.559;19.884.525
2021-03-12;101,00;101,25;99,20;99,46;236.300;23.569.820
2021-03-11;99,66;102,95;99,10;101,45;383.583;38.984.472
2021-03-10;98,52;100,40;97,94;99,40;279.220;27.762.185
2021-03-09;96,48;99,76;95,88;98,32;447.478;43.870.878
2021-03-08;96,88;99,20;96,60;98,64;311.366;30.601.704
2021-03-05;97,60;97,60;96,04;96,74;348.301;33.690.211
2021-03-04;97,14;97,88;96,26;97,80;255.713;24.913.439
2021-03-03;100,05;100,45;96,96;97,32;352.166;34.479.365
2021-03-02;98,38;100,45;98,04;99,68;318.803;31.799.305
2021-03-01;97,76;98,54;97,46;98,46;218.754;21.491.904
2021-02-26;97,22;98,16;96,16;96,72;330.217;32.012.269
2021-02-25;98,70;99,00;97,24;97,68;281.492;27.560.993
2021-02-24;99,70;100,10;98,60;98,96;235.689;23.366.283
2021-02-23;100,50;100,50;97,80;99,10;329.488;32.582.830
2021-02-22;100,75;101,15;99,54;100,45;261.660;26.270.820
2021-02-19;101,45;101,80;100,50;101,05;189.978;19.195.359
2021-02-18;101,85;102,55;101,00;101,35;197.831;20.081.588
2021-02-17;103,45;103,75;101,90;102,00;366.586;37.550.793
2021-02-16;103,45;104,50;103,35;103,85;247.551;25.739.257
2021-02-15;104,60;104,85;103,00;103,50;139.259;14.415.931
2021-02-12;103,65;104,65;103,35;104,35;136.171;14.188.931
2021-02-11;102,65;104,00;102,40;103,55;213.602;22.075.274
2021-02-10;103,20;103,65;102,35;102,80;178.252;18.371.825
2021-02-09;101,60;103,05;101,40;102,90;259.509;26.606.011
2021-02-08;100,25;102,15;100,00;101,50;388.952;39.359.644
2021-02-05;101,65;101,85;99,90;100,05;236.202;23.686.983
2021-02-04;101,95;102,80;101,15;101,50;310.649;31.594.239
2021-02-03;104,85;105,00;101,75;101,75;371.617;38.051.322
2021-02-02;104,25;105,05;103,55;104,45;342.695;35.771.132
2021-02-01;103,45;104,55;102,65;103,90;297.487;30.880.820
2021-01-29;101,80;103,30;101,35;102,70;438.987;45.072.174
2021-01-28;104,05;104,80;102,10;103,20;334.086;34.594.283
2021-01-27;103,50;106,80;102,75;104,65;522.267;54.711.104
2021-01-26;103,20;104,10;102,90;103,45;296.355;30.682.913
