Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;954,55;966,15;943,95;950,60;;
2021-12-29;967,50;988,55;937,25;954,55;;
2021-12-28;967,30;989,00;955,20;963,00;;
2021-12-27;946,20;985,90;943,35;967,30;;
2021-12-23;893,55;946,80;882,85;940,55;;
2021-12-22;825,90;895,40;825,75;893,55;;
2021-12-21;799,85;832,50;785,75;828,50;;
2021-12-20;817,50;817,50;791,10;799,85;;
2021-12-19;829,10;829,10;829,10;829,10;;
2021-12-18;831,90;832,70;829,10;829,10;;
2021-12-17;817,35;851,70;796,85;831,90;;
2021-12-16;876,50;887,95;814,30;817,35;;
2021-12-15;845,70;867,60;824,70;864,15;;
2021-12-14;854,05;858,50;824,25;850,35;;
2021-12-13;897,15;909,10;842,80;854,05;;
2021-12-12;897,15;897,15;897,00;897,00;;
2021-12-11;897,15;897,15;897,15;897,15;;
2021-12-10;890,70;904,05;863,40;897,15;;
2021-12-09;939,20;944,75;884,50;890,95;;
2021-12-08;936,10;945,40;914,50;939,20;;
2021-12-07;893,15;939,55;889,95;936,15;;
2021-12-06;892,30;913,40;842,70;893,15;;
2021-12-05;891,35;892,30;891,35;892,30;;
2021-12-04;894,20;894,20;889,55;891,35;;
2021-12-03;961,60;972,35;885,15;894,20;;
2021-12-02;960,15;987,55;933,90;961,60;;
2021-12-01;1.011,9;1.033,1;958,95;960,15;;
2021-11-30;1.009,2;1.027;983,85;1.011,9;;
2021-11-29;953,90;1.013,5;953,90;1.006,7;;
2021-11-28;955,35;955,35;953,90;953,90;;
2021-11-27;955,35;955,35;955,35;955,35;;
2021-11-26;992,50;992,50;951,10;955,35;;
2021-11-25;996,25;1.003,5;988,70;992,50;;
2021-11-24;979,65;1.010,8;948,95;996,25;;
2021-11-23;1.034,6;1.049,4;944,60;989,05;;
2021-11-22;1.010,2;1.068,5;1.006,4;1.034,6;;
2021-11-21;1.010,2;1.010,2;1.010,2;1.010,2;;
2021-11-20;1.007,3;1.010,2;1.007,3;1.010,2;;
2021-11-19;957,55;1.008,4;957,55;1.007,3;;
2021-11-18;961,05;983,80;945,70;961,85;;
2021-11-17;936,20;990,15;933,60;959,75;;
2021-11-16;881,00;934,05;876,05;928,70;;
2021-11-15;899,65;906,00;856,80;889,75;;
2021-11-14;899,65;899,65;899,65;899,65;;
2021-11-13;900,35;900,35;899,65;899,65;;
2021-11-12;929,60;937,00;891,05;900,35;;
2021-11-11;926,10;977,05;920,65;929,60;;
2021-11-10;883,95;936,35;854,30;926,10;;
2021-11-09;999,90;1.024,4;872,75;883,80;;
2021-11-08;980,00;1.032,6;959,65;999,90;;
2021-11-07;1.053,2;1.053,2;950,00;980,00;;
2021-11-06;1.055;1.055;1.053,2;1.053,2;;
2021-11-05;1.062,6;1.074,8;1.048,8;1.055;;
2021-11-04;1.040,9;1.079,8;1.040,9;1.062,6;;
2021-11-03;1.007,2;1.049,4;991,00;1.040,9;;
2021-11-02;1.047;1.049,9;969,90;1.007,2;;
2021-11-01;975,50;1.054,9;967,20;1.047;;
2021-10-31;975,50;975,50;975,50;975,50;;
2021-10-30;968,10;976,95;968,10;975,50;;
2021-10-29;918,80;968,90;918,80;968,10;;
2021-10-28;895,45;928,85;895,45;918,80;;
2021-10-27;877,70;922,65;870,35;895,45;;
2021-10-26;884,70;943,70;864,75;877,70;;
2021-10-25;783,00;899,15;779,70;884,70;;
2021-10-24;781,40;783,00;781,05;783,00;;
2021-10-23;781,40;781,40;781,40;781,40;;
2021-10-22;766,05;782,00;763,85;781,40;;
2021-10-21;736,25;772,60;728,25;765,05;;
2021-10-20;744,00;748,10;730,55;736,20;;
2021-10-19;751,25;754,95;740,00;743,90;;
2021-10-18;726,00;753,20;726,00;751,25;;
2021-10-17;730,00;730,00;723,00;726,00;;
2021-10-16;728,60;731,50;728,60;730,00;;
2021-10-15;706,25;728,80;706,25;728,60;;
2021-10-14;702,15;707,90;701,05;705,65;;
2021-10-13;696,65;704,45;696,65;699,25;;
2021-10-12;685,70;704,30;679,70;696,65;;
2021-10-11;678,60;691,90;674,70;685,70;;
2021-10-10;678,60;678,60;678,60;678,60;;
2021-10-09;678,50;678,60;678,50;678,60;;
2021-10-08;688,00;692,35;675,80;678,50;;
2021-10-07;676,70;694,20;676,70;688,00;;
2021-10-06;673,90;681,35;663,05;676,70;;
2021-10-05;672,00;687,60;667,70;673,90;;
2021-10-04;676,00;693,40;667,85;672,00;;
2021-10-03;668,60;676,00;668,60;676,00;;
2021-10-02;668,60;668,60;668,60;668,60;;
2021-10-01;669,15;674,90;658,80;668,60;;
2021-09-30;673,30;682,10;667,80;669,15;;
2021-09-29;658,35;682,80;658,35;673,30;;
2021-09-28;673,40;681,30;655,80;663,85;;
2021-09-27;659,25;682,75;656,85;674,45;;
2021-09-26;659,25;659,25;659,25;659,25;;
2021-09-25;658,65;659,75;658,65;659,25;;
2021-09-24;641,80;661,25;634,85;658,65;;
2021-09-23;643,05;648,45;637,20;641,80;;
2021-09-22;629,10;644,25;628,70;643,05;;
2021-09-21;622,20;635,35;621,10;629,10;;
2021-09-20;647,75;648,10;613,10;622,20;;
2021-09-19;647,75;647,75;647,75;647,75;;
2021-09-18;647,15;647,75;647,15;647,75;;
2021-09-17;642,95;648,40;638,80;647,15;;
2021-09-16;638,85;645,05;633,00;642,95;;
2021-09-15;631,30;640,70;624,95;638,85;;
2021-09-14;629,50;638,00;623,05;631,30;;
2021-09-13;620,00;632,05;600,95;629,50;;
2021-09-12;622,30;622,30;620,00;620,00;;
2021-09-11;622,30;622,30;622,30;622,30;;
2021-09-10;637,50;644,75;621,50;622,30;;
2021-09-09;637,50;644,70;631,90;637,50;;
2021-09-08;635,50;646,70;626,95;637,50;;
2021-09-07;618,05;641,60;618,05;635,50;;
2021-09-06;618,10;623,95;617,40;618,05;;
2021-09-05;618,10;618,10;618,10;618,10;;
2021-09-04;618,10;618,10;618,10;618,10;;
2021-09-03;616,55;622,50;609,50;617,40;;
2021-09-02;618,60;624,35;612,55;616,55;;
2021-09-01;622,90;626,60;617,45;618,60;;
2021-08-31;622,10;627,10;614,45;622,90;;
2021-08-30;603,85;624,90;602,85;622,10;;
2021-08-29;603,85;603,85;603,85;603,85;;
2021-08-28;604,05;604,05;603,85;603,85;;
2021-08-27;596,45;606,05;594,95;604,05;;
2021-08-26;604,35;608,60;593,75;596,45;;
2021-08-25;602,00;609,40;600,10;604,35;;
2021-08-24;603,50;608,75;598,15;602,00;;
2021-08-23;580,55;606,45;580,05;601,75;;
2021-08-22;582,15;582,15;582,15;582,15;;
2021-08-21;581,20;582,70;581,20;582,15;;
2021-08-20;576,10;592,35;573,60;581,20;;
2021-08-19;586,95;590,10;571,90;577,00;;
2021-08-18;566,80;593,85;563,95;584,55;;
2021-08-17;579,60;583,65;553,95;566,80;;
2021-08-16;607,95;609,25;575,55;581,20;;
2021-08-15;607,95;607,95;607,95;607,95;;
2021-08-14;607,35;607,95;607,35;607,95;;
2021-08-13;613,75;620,10;606,00;607,35;;
2021-08-12;602,45;618,90;596,35;617,10;;
2021-08-11;604,65;609,05;600,00;602,45;;
2021-08-10;607,25;611,25;599,25;604,65;;
2021-08-09;592,45;611,45;592,45;607,25;;
2021-08-08;592,45;593,05;592,45;592,45;;
2021-08-07;593,55;593,55;592,45;592,45;;
2021-08-06;603,25;607,75;593,30;593,55;;
2021-08-05;599,55;608,95;599,20;603,25;;
2021-08-04;595,50;612,35;593,80;599,55;;
2021-08-03;602,50;608,65;591,40;598,45;;
2021-08-02;578,90;611,85;578,40;599,45;;
2021-08-01;579,50;579,50;579,00;579,00;;
2021-07-31;579,05;579,50;578,50;578,50;;
2021-07-30;564,15;587,95;555,00;579,05;;
2021-07-29;545,15;575,05;544,60;564,15;;
2021-07-28;540,70;555,40;539,95;545,15;;
2021-07-27;563,10;572,30;529,95;542,65;;
2021-07-26;546,65;574,25;542,95;567,45;;
2021-07-25;546,65;546,70;546,65;546,65;;
2021-07-24;546,75;546,75;546,60;546,65;;
2021-07-23;550,95;554,10;541,95;546,75;;
2021-07-22;555,35;560,05;547,90;552,05;;
2021-07-21;562,35;564,75;551,45;555,35;;
2021-07-20;548,85;562,25;544,65;559,95;;
2021-07-19;543,80;550,05;526,05;548,85;;
2021-07-18;543,80;543,80;543,80;543,80;;
2021-07-17;544,30;544,30;543,80;543,80;;
2021-07-16;550,65;556,25;542,60;544,30;;
2021-07-15;552,85;563,30;540,45;550,65;;
2021-07-14;567,10;573,65;551,35;552,85;;
2021-07-13;578,50;586,80;565,95;567,10;;
2021-07-12;552,05;579,55;551,05;578,50;;
2021-07-11;552,05;552,05;552,05;552,05;;
2021-07-10;552,15;552,55;552,05;552,05;;
2021-07-09;551,15;557,35;545,70;552,15;;
2021-07-08;545,65;552,40;524,35;551,15;;
2021-07-07;554,50;563,35;541,60;545,65;;
2021-07-06;572,30;577,75;551,40;557,05;;
2021-07-05;571,10;574,05;569,10;572,30;;
2021-07-04;571,10;571,10;571,10;571,10;;
2021-07-03;571,10;571,10;571,10;571,10;;
2021-07-02;570,40;591,50;567,50;571,00;;
2021-07-01;573,00;580,40;567,30;571,70;;
2021-06-30;572,20;584,00;565,90;573,00;;
2021-06-29;577,20;578,10;568,60;572,20;;
2021-06-28;560,40;582,15;554,10;577,20;;
2021-06-27;560,40;560,40;560,40;560,40;;
2021-06-26;562,95;562,95;560,40;560,40;;
2021-06-25;571,05;580,00;560,05;562,95;;
2021-06-24;555,05;584,65;551,50;569,60;;
2021-06-23;523,60;556,05;522,60;555,05;;
2021-06-22;521,90;526,75;517,20;522,25;;
2021-06-21;523,60;529,85;511,10;520,00;;
