Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;961,00;966,00;944,00;951,30;14.879;14.223.063
2021-12-29;967,40;989,00;936,80;949,60;47.525;46.373.664
2021-12-28;971,30;989,10;955,60;957,60;28.570;27.790.679
2021-12-27;945,10;982,30;941,20;977,10;32.012;30.645.486
2021-12-23;894,80;927,40;883,10;927,40;44.742;40.357.069
2021-12-22;834,20;895,00;826,90;890,60;38.031;32.554.200
2021-12-21;807,20;818,80;786,00;798,80;12.586;10.122.096
2021-12-20;807,00;815,00;791,20;797,50;33.497;27.025.987
2021-12-17;817,00;851,00;797,20;840,60;38.431;31.164.894
2021-12-16;874,30;887,70;825,40;827,80;29.088;25.299.156
2021-12-15;847,10;861,70;832,90;832,90;16.103;13.593.154
2021-12-14;851,20;857,70;824,90;836,40;48.036;40.314.552
2021-12-13;903,90;908,00;848,60;852,40;25.187;22.244.765
2021-12-10;882,00;904,00;861,80;888,70;58.783;51.872.808
2021-12-09;940,30;942,10;912,00;918,10;14.403;13.446.942
2021-12-08;941,10;941,70;914,50;923,50;35.840;33.224.185
2021-12-07;906,10;936,10;906,10;922,60;37.002;34.154.953
2021-12-06;910,10;913,90;842,70;872,10;76.741;67.639.189
2021-12-03;958,50;972,00;891,60;906,70;50.663;47.702.846
2021-12-02;982,40;987,00;934,00;961,20;65.047;62.931.721
2021-12-01;1.024,4;1.033;1.011,6;1.021;17.907;18.344.077
2021-11-30;995,00;1.026,6;984,40;1.002;25.583;25.644.409
2021-11-29;971,40;1.011;968,20;1.008,6;38.420;37.854.391
2021-11-26;966,50;981,10;951,40;968,10;56.704;54.640.842
2021-11-25;998,40;1.004,8;989,00;990,00;9.647;9.618.446
2021-11-24;989,30;1.005;948,00;999,60;56.158;55.067.317
2021-11-23;1.029,4;1.049;987,20;999,80;38.147;38.942.710
2021-11-22;1.017,4;1.068,4;1.016;1.054;50.783;52.714.758
2021-11-19;971,90;981,40;964,50;976,30;46.193;45.020.609
2021-11-18;966,70;983,90;958,20;970,40;37.503;36.423.860
2021-11-17;936,70;990,00;933,50;971,70;53.149;50.477.690
2021-11-16;884,50;929,60;876,00;922,90;30.799;27.667.774
2021-11-15;896,30;896,30;857,00;873,90;59.119;51.936.300
2021-11-12;929,40;937,10;900,00;900,80;30.883;28.479.608
2021-11-11;953,80;976,90;920,30;935,90;65.949;63.128.299
2021-11-10;900,20;935,50;853,70;927,60;98.153;87.663.908
2021-11-09;1.005;1.024,6;903,60;926,60;97.114;94.446.709
2021-11-08;986,00;1.032;977,50;1.025;163.789;163.592.021
2021-11-05;1.057;1.074,8;1.048,2;1.069,4;34.051;36.287.188
2021-11-04;1.062,6;1.080;1.055,8;1.073;56.266;60.229.684
2021-11-03;1.007,6;1.029;993,30;1.017;72.033;72.894.576
2021-11-02;1.018,2;1.041,2;970,50;1.000;124.850;125.193.482
2021-11-01;984,50;1.013,8;966,50;1.010,8;74.129;73.308.093
2021-10-29;923,60;947,20;920,00;943,90;39.554;36.812.030
2021-10-28;909,90;928,40;905,20;914,90;43.330;39.778.433
2021-10-27;885,70;923,00;870,20;905,90;57.474;51.392.952
2021-10-26;901,70;944,00;869,20;892,60;120.814;108.235.750
2021-10-25;787,50;843,00;784,30;828,50;81.904;66.308.350
2021-10-22;766,00;781,00;765,20;774,00;19.231;14.844.961
2021-10-21;734,40;772,50;730,70;763,40;33.312;24.944.134
2021-10-20;738,80;746,00;737,10;744,50;16.490;12.234.870
2021-10-19;751,60;754,90;739,40;747,20;26.846;20.105.230
2021-10-18;725,20;744,50;725,20;741,40;40.504;29.635.984
2021-10-15;708,00;720,00;705,90;719,60;17.845;12.695.993
2021-10-14;703,90;706,00;701,70;704,90;19.007;13.382.017
2021-10-13;699,40;704,20;697,00;698,40;22.060;15.471.580
2021-10-12;682,70;701,50;680,20;698,40;40.371;28.072.185
2021-10-11;677,50;691,70;674,40;684,50;22.633;15.453.356
2021-10-08;689,50;690,20;676,40;678,50;21.480;14.713.137
2021-10-07;680,60;685,00;677,90;682,70;15.839;10.805.649
2021-10-06;671,00;681,00;662,90;676,80;36.667;24.524.914
2021-10-05;678,50;687,20;675,00;676,50;19.289;13.119.025
2021-10-04;675,20;693,00;672,50;675,80;57.455;39.184.547
2021-10-01;666,40;674,20;658,80;670,80;31.452;20.931.730
2021-09-30;678,20;681,00;667,00;676,70;29.094;19.638.987
2021-09-29;670,60;682,70;668,10;672,10;19.934;13.439.687
2021-09-28;672,00;681,10;663,70;667,60;26.404;17.672.545
2021-09-27;660,40;675,80;656,90;675,50;23.049;15.287.408
2021-09-24;641,10;653,60;634,50;649,90;17.017;10.917.196
2021-09-23;643,00;648,50;639,10;639,90;14.935;9.638.572
2021-09-22;633,10;638,50;630,40;638,50;10.375;6.572.278
2021-09-21;627,90;635,70;623,70;635,10;21.615;13.606.830
2021-09-20;641,00;643,00;618,30;620,20;30.651;19.372.085
2021-09-17;643,20;647,00;639,00;643,10;11.776;7.568.962
2021-09-16;634,20;642,80;634,20;637,40;10.379;6.629.758
2021-09-15;631,00;633,00;625,00;630,10;7.701;4.851.884
2021-09-14;626,60;638,00;623,30;631,80;10.132;6.373.480
2021-09-13;626,00;632,00;600,70;612,00;20.830;12.925.230
2021-09-10;639,40;644,50;636,80;638,10;7.524;4.816.593
2021-09-09;636,10;644,20;631,60;639,90;7.643;4.863.634
2021-09-08;638,50;646,20;629,00;631,80;18.308;11.675.263
2021-09-07;624,40;641,10;618,70;634,40;14.925;9.353.071
2021-09-06;622,00;624,40;617,40;624,20;5.421;3.372.973
2021-09-03;621,10;622,90;611,40;612,20;31.125;19.230.772
2021-09-02;618,40;624,00;612,50;624,00;9.621;5.940.244
2021-09-01;623,10;626,80;618,00;622,20;14.636;9.108.656
