Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;177,60;177,77;176,51;177,43;;
2021-12-29;178,80;179,15;176,72;177,58;;
2021-12-28;178,60;180,76;177,71;178,78;;
2021-12-27;177,09;178,75;176,03;178,64;;
2021-12-23;175,44;178,13;175,37;177,18;;
2021-12-22;174,24;176,19;172,59;175,42;;
2021-12-21;173,62;175,47;172,37;174,30;;
2021-12-20;175,21;175,75;168,01;173,39;;
2021-12-19;176,13;176,13;175,74;175,89;;
2021-12-18;176,12;176,13;176,12;176,13;;
2021-12-17;183,41;183,45;174,43;176,12;;
2021-12-16;181,99;186,45;181,20;182,35;;
2021-12-15;182,25;183,88;179,21;181,75;;
2021-12-14;182,62;184,46;181,36;182,20;;
2021-12-13;181,34;185,25;180,50;182,56;;
2021-12-12;181,24;181,36;181,24;181,24;;
2021-12-11;181,24;181,26;181,22;181,24;;
2021-12-10;182,39;184,87;180,23;181,24;;
2021-12-09;184,67;187,79;181,48;182,53;;
2021-12-08;184,41;185,84;182,05;184,67;;
2021-12-07;171,34;185,10;171,34;184,44;;
2021-12-06;165,68;171,66;164,74;171,17;;
2021-12-05;165,22;165,32;165,22;165,30;;
2021-12-04;165,37;165,37;165,12;165,12;;
2021-12-03;168,15;170,70;164,23;165,37;;
2021-12-02;165,31;168,89;163,96;168,22;;
2021-12-01;162,34;170,16;162,34;164,90;;
2021-11-30;166,50;166,50;159,74;161,92;;
2021-11-29;164,73;168,25;163,12;166,50;;
2021-11-28;162,72;163,57;162,65;163,57;;
2021-11-27;164,83;164,83;162,72;162,72;;
2021-11-26;170,60;170,66;162,95;165,10;;
2021-11-25;172,95;174,37;171,13;173,57;;
2021-11-24;177,15;177,92;171,03;172,47;;
2021-11-23;178,34;179,13;175,46;176,94;;
2021-11-22;180,71;181,89;176,55;178,38;;
2021-11-21;180,69;180,69;180,62;180,62;;
2021-11-20;180,69;180,69;180,69;180,69;;
2021-11-19;184,85;185,97;178,77;180,73;;
2021-11-18;186,59;188,39;183,34;184,85;;
2021-11-17;187,42;188,24;185,24;186,53;;
2021-11-16;187,60;190,78;187,33;187,51;;
2021-11-15;187,86;190,19;185,66;187,60;;
2021-11-14;187,88;187,90;187,88;187,90;;
2021-11-13;187,88;187,88;187,88;187,88;;
2021-11-12;185,62;189,64;184,54;187,88;;
2021-11-11;185,42;186,06;183,75;185,56;;
2021-11-10;186,13;187,79;184,23;185,37;;
2021-11-09;188,32;189,71;185,06;186,19;;
2021-11-08;191,26;191,26;187,07;188,36;;
2021-11-07;191,22;191,26;191,20;191,26;;
2021-11-06;191,18;191,22;191,18;191,22;;
2021-11-05;189,05;195,56;187,25;191,18;;
2021-11-04;187,90;189,71;185,62;189,07;;
2021-11-03;194,10;194,16;184,39;187,88;;
2021-11-02;194,90;195,57;192,61;194,16;;
2021-11-01;194,49;196,01;193,02;194,96;;
2021-10-31;194,49;194,53;194,49;194,51;;
2021-10-30;194,49;194,49;194,49;194,49;;
2021-10-29;196,46;196,48;191,85;194,49;;
2021-10-28;203,725;204,15;194,18;196,54;;
2021-10-27;205,975;206,80;200,275;203,675;;
2021-10-26;205,35;208,375;203,325;205,975;;
2021-10-25;195,84;205,95;195,30;205,325;;
2021-10-24;195,82;195,82;195,82;195,82;;
2021-10-23;196,04;196,04;195,82;195,82;;
2021-10-22;192,03;197,25;191,65;196,02;;
2021-10-21;186,90;194,39;182,98;191,99;;
2021-10-20;190,18;191,66;182,34;186,94;;
2021-10-19;193,34;194,66;190,06;190,20;;
2021-10-18;198,76;199,25;190,92;193,34;;
2021-10-17;198,86;198,88;198,84;198,86;;
2021-10-16;198,86;198,90;198,84;198,86;;
2021-10-15;197,23;199,96;195,44;198,86;;
2021-10-14;194,20;197,58;194,20;197,16;;
2021-10-13;188,16;196,57;188,14;194,16;;
2021-10-12;190,21;190,23;185,71;188,08;;
2021-10-11;190,28;191,25;188,25;190,28;;
2021-10-10;190,22;190,22;190,22;190,22;;
2021-10-09;190,22;190,22;190,22;190,22;;
2021-10-08;190,33;191,25;188,65;190,22;;
2021-10-07;187,41;193,27;187,39;190,33;;
2021-10-06;191,28;191,30;185,40;187,33;;
2021-10-05;190,93;191,90;189,03;191,35;;
2021-10-04;194,91;194,96;189,88;190,91;;
2021-10-03;194,97;194,97;194,97;194,97;;
2021-10-02;194,99;194,99;194,97;194,97;;
2021-10-01;193,58;195,46;188,56;194,99;;
2021-09-30;195,62;197,66;192,42;193,70;;
2021-09-29;190,78;196,97;190,51;195,52;;
2021-09-28;191,81;193,98;189,15;190,74;;
2021-09-27;190,14;192,71;189,31;191,83;;
2021-09-26;189,96;190,04;189,94;190,04;;
2021-09-25;189,96;189,96;189,96;189,96;;
2021-09-24;190,20;191,12;186,56;189,96;;
2021-09-23;188,02;190,98;188,02;190,22;;
2021-09-22;183,42;188,73;183,42;187,98;;
2021-09-21;180,29;186,63;180,27;183,32;;
2021-09-20;189,48;189,54;178,33;180,15;;
2021-09-19;189,56;189,66;189,08;189,22;;
2021-09-18;189,56;189,56;189,56;189,56;;
2021-09-17;194,49;195,63;187,42;189,56;;
2021-09-16;196,68;197,21;193,13;194,21;;
2021-09-15;197,78;197,78;194,87;197,12;;
2021-09-14;197,15;198,67;195,76;196,96;;
2021-09-13;194,67;197,30;194,65;197,01;;
2021-09-12;194,49;194,69;194,49;194,65;;
2021-09-11;194,53;194,57;194,53;194,53;;
2021-09-10;196,87;197,98;194,42;194,53;;
2021-09-09;193,73;196,66;191,78;195,51;;
2021-09-08;200,17;200,50;193,32;194,83;;
2021-09-07;202,05;202,50;199,98;200,17;;
2021-09-06;202,00;204,15;201,55;202,275;;
2021-09-05;201,85;201,875;201,85;201,85;;
2021-09-04;201,85;201,85;201,85;201,85;;
2021-09-03;202,65;204,025;201,275;201,85;;
2021-09-02;201,75;204,575;200,05;202,275;;
2021-09-01;201,425;204,275;200,015;202,025;;
2021-08-31;201,80;203,825;199,16;200,80;;
2021-08-30;200,725;202,225;200,675;201,30;;
2021-08-29;200,675;200,975;200,675;200,975;;
2021-08-28;200,675;200,70;200,675;200,675;;
2021-08-27;199,87;200,925;198,71;200,80;;
2021-08-26;199,985;201,425;197,54;199,58;;
2021-08-25;199,49;202,25;198,03;200,575;;
2021-08-24;196,03;199,945;195,31;199,55;;
2021-08-23;194,01;196,56;192,90;195,45;;
2021-08-22;192,85;192,85;192,85;192,85;;
2021-08-21;192,85;192,85;192,85;192,85;;
2021-08-20;194,44;194,58;190,51;192,77;;
2021-08-19;197,21;197,33;192,59;195,52;;
2021-08-18;200,725;201,775;195,79;197,43;;
2021-08-17;203,325;203,525;199,85;199,97;;
2021-08-16;206,375;206,50;202,075;203,85;;
2021-08-15;207,225;207,225;207,075;207,125;;
2021-08-14;207,275;207,275;207,225;207,225;;
2021-08-13;208,475;210,125;206,75;207,275;;
2021-08-12;205,20;208,925;204,375;208,525;;
2021-08-11;206,125;206,875;204,675;205,325;;
2021-08-10;205,40;206,325;204,525;206,275;;
2021-08-09;206,925;207,40;203,35;205,375;;
2021-08-08;207,40;207,425;207,375;207,375;;
2021-08-07;207,40;207,40;207,40;207,40;;
2021-08-06;205,60;209,275;205,50;207,40;;
2021-08-05;204,525;205,775;202,95;205,525;;
2021-08-04;205,55;208,075;203,975;204,275;;
2021-08-03;206,40;207,95;203,90;205,30;;
2021-08-02;206,175;210,575;205,40;205,75;;
2021-08-01;205,425;205,475;205,325;205,325;;
2021-07-31;205,525;205,525;205,075;205,425;;
2021-07-30;205,20;208,625;203,175;205,475;;
2021-07-29;204,70;207,85;199,91;206,00;;
2021-07-28;203,125;205,95;203,025;204,85;;
2021-07-27;207,00;207,00;201,525;203,35;;
2021-07-26;207,55;208,575;203,125;207,45;;
2021-07-25;208,30;208,30;208,25;208,25;;
2021-07-24;208,30;208,30;208,30;208,30;;
2021-07-23;203,90;211,025;203,90;208,30;;
2021-07-22;210,625;213,625;208,125;208,45;;
2021-07-21;205,35;212,475;202,475;210,70;;
2021-07-20;202,75;206,125;200,45;205,65;;
2021-07-19;208,20;208,475;199,65;202,65;;
2021-07-18;208,55;208,75;208,40;208,75;;
2021-07-17;208,50;208,55;208,50;208,55;;
2021-07-16;211,25;213,775;206,325;208,50;;
2021-07-15;215,625;216,00;209,125;211,05;;
2021-07-14;215,65;218,725;214,175;215,575;;
2021-07-13;219,40;220,15;213,80;215,825;;
2021-07-12;213,775;220,325;212,925;219,40;;
2021-07-11;213,625;214,05;213,125;214,05;;
2021-07-10;213,575;213,625;213,575;213,625;;
2021-07-09;202,175;213,625;201,35;213,575;;
2021-07-08;206,675;206,725;198,15;201,75;;
2021-07-07;205,925;207,40;203,225;207,10;;
2021-07-06;211,90;211,95;202,475;205,975;;
2021-07-05;211,80;213,025;208,575;211,85;;
2021-07-04;212,05;212,10;211,95;212,05;;
2021-07-03;212,05;212,05;212,05;212,05;;
2021-07-02;212,175;213,275;210,875;212,05;;
2021-07-01;211,65;214,275;209,825;212,15;;
2021-06-30;217,025;217,125;207,75;211,325;;
2021-06-29;213,875;217,85;213,35;216,925;;
2021-06-28;216,125;217,325;213,175;214,325;;
2021-06-27;216,125;216,175;216,075;216,125;;
2021-06-26;216,05;216,125;215,95;216,125;;
2021-06-25;220,40;220,475;215,225;216,05;;
2021-06-24;220,175;221,775;218,625;219,85;;
2021-06-23;224,375;224,675;218,15;219,575;;
2021-06-22;226,625;228,025;221,475;224,175;;
2021-06-21;217,075;227,175;215,875;226,675;;
2021-06-20;218,575;218,675;218,075;218,425;;
2021-06-19;218,775;218,775;218,575;218,575;;
2021-06-18;224,45;225,50;217,775;218,775;;
2021-06-17;222,525;228,275;222,45;224,675;;
2021-06-16;225,35;226,175;219,80;223,175;;
2021-06-15;231,925;232,175;224,80;225,35;;
2021-06-14;233,875;234,75;230,00;231,425;;
2021-06-13;233,75;234,15;233,75;233,80;;
2021-06-12;233,75;233,75;233,75;233,75;;
2021-06-11;230,70;234,225;228,95;233,75;;
2021-06-10;232,40;232,575;225,975;230,55;;
2021-06-09;233,725;235,075;229,925;232,00;;
2021-06-08;238,95;239,05;230,725;233,825;;
