Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;177,00;177,48;176,50;177,48;333.679;59.105.620
2021-12-29;178,76;179,00;176,70;177,20;397.514;70.601.363
2021-12-28;178,78;180,76;178,50;179,34;427.760;76.838.417
2021-12-27;176,90;178,58;176,24;178,42;415.030;73.762.394
2021-12-23;176,66;178,14;176,18;176,90;528.329;93.610.096
2021-12-22;174,28;175,38;172,60;175,38;481.084;83.869.642
2021-12-21;174,24;175,20;172,38;174,08;609.862;106.082.878
2021-12-20;170,60;173,92;168,02;172,38;1.076.436;184.683.378
2021-12-17;181,20;181,36;174,42;176,02;1.788.057;316.903.476
2021-12-16;182,40;184,80;181,50;182,62;1.068.099;195.611.618
2021-12-15;182,50;183,86;179,34;179,34;905.083;163.920.015
2021-12-14;182,82;184,46;181,62;181,62;1.013.320;185.261.966
2021-12-13;181,30;185,24;180,80;182,30;1.044.182;191.666.496
2021-12-10;181,64;184,88;180,22;180,34;994.932;181.104.469
2021-12-09;184,90;187,80;181,96;182,44;1.460.440;269.008.889
2021-12-08;184,34;185,16;182,06;184,34;1.300.080;239.166.633
2021-12-07;173,72;185,00;171,48;185,00;3.557.627;641.673.403
2021-12-06;167,46;171,54;164,74;170,30;1.435.998;242.360.099
2021-12-03;169,26;169,90;164,24;165,32;1.167.862;193.562.337
2021-12-02;165,68;167,54;163,96;166,56;1.243.580;206.807.695
2021-12-01;164,70;170,18;163,58;167,74;1.985.949;333.112.878
2021-11-30;162,50;163,88;159,72;161,66;2.367.509;382.665.349
2021-11-29;165,50;167,68;163,12;164,52;1.471.035;242.974.690
2021-11-26;167,22;167,78;162,92;163,94;2.657.035;439.019.361
2021-11-25;171,94;173,30;171,12;172,36;845.089;145.715.710
2021-11-24;175,28;176,36;171,00;172,38;2.046.900;354.530.623
2021-11-23;177,22;179,14;175,48;177,30;1.210.550;214.673.087
2021-11-22;181,48;181,96;176,52;179,26;1.222.079;218.970.791
2021-11-19;185,14;185,68;178,76;180,64;2.004.212;362.603.998
2021-11-18;187,00;188,40;183,32;185,32;1.174.134;218.089.412
2021-11-17;186,64;188,22;185,22;187,00;1.034.294;193.191.360
2021-11-16;188,98;190,76;187,34;188,52;811.395;153.244.918
2021-11-15;187,78;190,20;185,66;188,38;853.903;160.635.065
2021-11-12;185,12;189,66;184,54;188,00;846.357;159.056.023
2021-11-11;185,00;186,02;183,74;185,72;905.464;167.472.325
2021-11-10;185,90;186,56;184,22;185,60;915.458;169.702.720
2021-11-09;187,50;189,72;185,06;185,72;1.140.770;213.264.818
2021-11-08;189,70;190,72;187,40;187,52;976.718;184.108.264
2021-11-05;187,08;195,54;187,08;192,88;1.204.318;231.705.145
2021-11-04;187,54;189,72;185,60;187,80;1.202.769;225.540.262
2021-11-03;192,50;192,96;184,32;185,62;2.504.670;468.893.482
2021-11-02;194,88;195,60;192,62;193,44;891.651;172.921.286
2021-11-01;194,76;196,02;193,00;194,66;676.132;131.530.298
2021-10-29;194,28;195,96;191,86;193,82;1.222.250;236.314.930
2021-10-28;199,46;200,40;194,18;194,78;1.442.631;283.565.093
2021-10-27;205,50;206,85;200,10;203,90;793.633;161.963.184
2021-10-26;206,30;208,35;203,35;206,10;1.107.804;228.521.983
2021-10-25;196,30;205,95;195,34;205,25;1.773.805;360.051.497
2021-10-22;192,30;197,24;191,60;196,10;1.087.852;213.139.341
2021-10-21;184,70;194,44;182,98;191,80;1.981.651;375.527.046
2021-10-20;189,40;191,78;182,32;186,82;2.066.097;383.861.103
2021-10-19;193,50;194,66;190,00;190,00;897.438;171.854.767
2021-10-18;199,00;199,18;190,94;192,34;957.300;185.483.065
2021-10-15;195,80;199,96;195,42;198,66;980.498;194.652.250
2021-10-14;195,32;197,56;194,98;196,06;739.485;145.212.106
2021-10-13;188,50;196,58;188,14;193,44;1.280.551;248.333.071
2021-10-12;188,48;188,94;185,72;188,28;779.256;146.223.531
2021-10-11;189,36;191,26;188,18;190,82;564.142;107.428.142
2021-10-08;190,50;191,20;188,66;190,00;925.132;175.685.615
2021-10-07;188,98;193,30;188,34;190,52;1.019.493;194.547.898
2021-10-06;190,06;190,32;185,42;186,60;1.012.196;189.344.298
2021-10-05;190,60;191,90;189,04;191,88;543.451;103.719.387
2021-10-04;192,62;192,82;189,88;190,84;684.983;130.891.711
2021-10-01;190,50;195,14;188,54;193,68;910.130;175.103.640
2021-09-30;197,80;197,80;192,48;193,64;906.018;175.950.755
2021-09-29;191,74;196,98;190,50;196,04;1.075.025;209.507.179
2021-09-28;191,34;194,00;189,16;190,00;1.022.076;195.494.681
2021-09-27;191,88;192,70;189,32;191,34;879.267;168.036.436
2021-09-24;188,98;191,14;186,58;189,38;543.146;102.765.585
2021-09-23;189,12;191,00;188,30;189,30;790.011;149.850.527
2021-09-22;185,10;187,72;183,88;187,12;689.561;128.605.400
2021-09-21;182,48;186,62;181,80;183,20;1.062.608;195.540.618
2021-09-20;185,14;185,30;178,34;181,00;2.420.419;439.133.314
2021-09-17;194,46;195,22;187,38;189,70;2.548.512;485.814.552
2021-09-16;196,96;197,18;193,14;193,48;849.069;165.126.259
2021-09-15;196,48;197,70;194,86;196,52;682.473;134.043.746
2021-09-14;196,10;198,66;195,74;197,08;595.035;117.315.261
2021-09-13;195,78;197,30;194,98;196,62;645.719;126.887.169
2021-09-10;196,18;198,00;194,56;195,44;667.590;130.652.004
2021-09-09;193,00;196,66;191,80;196,48;891.759;173.739.336
2021-09-08;198,50;198,62;193,24;194,02;1.393.820;272.700.562
2021-09-07;201,80;202,45;199,96;200,40;591.998;118.835.135
2021-09-06;202,40;204,10;201,55;202,15;446.084;90.437.104
2021-09-03;202,80;204,00;201,25;201,90;566.843;114.776.614
2021-09-02;202,50;203,30;199,98;202,70;687.429;139.037.172
2021-09-01;203,80;204,35;199,98;201,05;664.934;134.137.929
2021-08-31;202,35;203,85;199,18;201,30;844.760;170.106.330
2021-08-30;201,35;202,25;200,80;201,00;305.524;61.518.097
2021-08-27;200,05;200,80;198,70;200,75;458.406;91.682.308
2021-08-26;198,60;201,45;197,52;200,00;621.505;124.055.186
2021-08-25;199,38;202,25;198,00;199,70;559.333;111.871.245
2021-08-24;196,18;199,74;195,40;198,76;786.125;155.868.210
2021-08-23;196,00;196,00;193,50;194,54;646.747;125.794.638
2021-08-20;193,36;193,36;190,50;192,86;1.161.894;222.769.642
2021-08-19;194,20;195,80;192,60;194,84;1.197.275;232.199.719
2021-08-18;201,10;201,30;195,78;198,54;1.325.533;262.327.819
2021-08-17;202,50;202,65;200,15;200,30;733.392;147.493.762
2021-08-16;205,75;206,20;202,10;203,00;835.295;170.335.740
2021-08-13;207,80;210,10;207,15;207,80;659.112;137.323.650
2021-08-12;205,15;208,90;204,30;208,60;678.240;140.271.037
2021-08-11;206,50;206,90;204,85;205,25;644.887;132.531.354
2021-08-10;204,95;206,30;204,55;205,40;516.369;106.013.852
2021-08-09;206,40;206,80;203,40;205,35;513.688;105.299.537
2021-08-06;205,75;209,35;205,55;206,80;595.468;123.506.505
2021-08-05;203,20;205,80;202,90;205,80;653.051;133.708.144
2021-08-04;205,90;208,10;204,15;204,20;712.602;146.346.618
2021-08-03;206,55;207,90;203,90;205,10;642.482;131.875.548
2021-08-02;209,20;210,60;205,60;205,75;799.631;166.152.354
2021-07-30;206,85;208,85;203,20;205,50;966.219;198.475.357
2021-07-29;203,50;207,85;199,84;207,05;1.260.668;257.938.569
2021-07-28;204,90;205,95;203,30;203,85;716.698;146.417.759
2021-07-27;205,50;205,65;201,50;202,50;904.664;183.847.333
2021-07-26;206,45;207,00;203,15;206,90;715.511;147.144.032
2021-07-23;206,00;211,05;205,45;208,60;1.089.503;227.490.348
2021-07-22;212,00;213,60;208,40;208,80;806.131;169.839.234
