Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;48,42;48,56;48,14;48,395;;
2021-12-29;48,595;48,865;48,07;48,40;;
2021-12-28;47,97;48,805;47,81;48,575;;
2021-12-27;48,135;48,435;47,875;48,02;;
2021-12-23;47,845;48,315;47,69;48,225;;
2021-12-22;48,045;48,11;47,30;47,825;;
2021-12-21;48,465;48,625;47,795;48,12;;
2021-12-20;47,745;48,47;47,335;48,215;;
2021-12-19;48,775;48,775;48,495;48,495;;
2021-12-18;48,765;48,775;48,765;48,775;;
2021-12-17;47,545;48,86;47,545;48,765;;
2021-12-16;49,545;51,51;48,095;48,445;;
2021-12-15;49,675;49,92;48,695;49,275;;
2021-12-14;50,31;50,63;49,055;49,605;;
2021-12-13;50,36;50,52;49,63;50,23;;
2021-12-12;50,24;50,39;50,24;50,24;;
2021-12-11;50,24;50,28;50,22;50,24;;
2021-12-10;50,17;50,50;49,93;50,24;;
2021-12-09;50,43;50,89;50,15;50,32;;
2021-12-08;51,13;51,20;50,03;50,45;;
2021-12-07;50,81;51,27;50,31;51,17;;
2021-12-06;50,30;50,79;50,03;50,61;;
2021-12-05;50,30;50,30;50,30;50,30;;
2021-12-04;50,30;50,30;50,30;50,30;;
2021-12-03;49,93;50,80;49,725;50,30;;
2021-12-02;48,90;50,03;47,125;50,03;;
2021-12-01;49,36;49,695;48,425;48,525;;
2021-11-30;48,59;49,635;48,05;49,095;;
2021-11-29;50,42;51,13;48,715;49,48;;
2021-11-28;49,39;49,61;49,28;49,535;;
2021-11-27;49,905;49,905;49,39;49,39;;
2021-11-26;51,07;51,96;49,53;49,945;;
2021-11-25;51,85;52,61;51,54;52,21;;
2021-11-24;53,03;53,03;48,505;51,66;;
2021-11-23;50,8871;51,1587;49,4915;49,5852;;
2021-11-22;52,1516;52,5918;49,8568;50,9433;;
2021-11-21;52,1422;52,1422;51,983;51,983;;
2021-11-20;52,1422;52,1422;52,1422;52,1422;;
2021-11-19;51,2149;52,4232;51,0276;52,1422;;
2021-11-18;50,8965;51,3835;49,9598;51,0557;;
2021-11-17;51,14;51,3086;50,6998;50,8215;;
2021-11-16;51,3273;51,7301;50,9995;51,2149;;
2021-11-15;50,3251;51,4303;50,1753;51,3273;;
2021-11-14;50,3532;50,4094;50,3532;50,4094;;
2021-11-13;50,3532;50,3532;50,3532;50,3532;;
2021-11-12;49,6508;50,5874;49,5384;50,3532;;
2021-11-11;49,3042;49,6508;48,9295;49,5758;;
2021-11-10;48,7516;49,8006;48,7422;49,2293;;
2021-11-09;48,2739;48,9389;47,7869;48,8359;;
2021-11-08;48,967;49,0045;47,9461;48,3395;;
2021-11-07;48,9295;48,9857;48,9202;48,9857;;
2021-11-06;48,8921;48,9295;48,8921;48,9295;;
2021-11-05;50,4094;50,4656;48,5736;48,8921;;
2021-11-04;50,1565;50,8684;49,1918;50,4282;;
2021-11-03;49,6039;50,1191;49,0513;50,1191;;
2021-11-02;49,5196;49,7444;48,9202;49,6788;;
2021-11-01;49,2574;49,7631;48,6579;49,6039;;
2021-10-31;49,248;49,3229;49,248;49,3042;;
2021-10-30;49,248;49,248;49,248;49,248;;
2021-10-29;50,3532;50,7091;48,1521;49,248;;
2021-10-28;50,2783;50,7279;50,1284;50,475;;
2021-10-27;49,9786;50,4937;49,81;50,2034;;
2021-10-26;50,4001;50,5686;49,8381;49,9598;;
2021-10-25;50,7091;50,9433;50,0816;50,3158;;
2021-10-24;50,6904;50,6904;50,6904;50,6904;;
2021-10-23;50,7091;50,7091;50,6904;50,6904;;
2021-10-22;50,3626;51,0276;50,1378;50,7091;;
2021-10-21;50,6436;50,8496;50,2502;50,2877;;
2021-10-20;50,9995;51,0744;50,5405;50,7279;;
2021-10-19;50,5031;51,0651;50,2877;51,0463;;
2021-10-18;49,8849;50,5031;49,632;50,4844;;
2021-10-17;50,016;50,0348;49,9973;50,016;;
2021-10-16;50,016;50,0348;49,9786;50,016;;
2021-10-15;49,8287;50,0348;49,1356;50,016;;
2021-10-14;48,9389;49,7819;48,7422;49,7538;;
2021-10-13;48,5362;49,0888;48,1615;48,8827;;
2021-10-12;48,2458;48,6111;47,6932;48,4238;;
2021-10-11;48,3301;48,6017;47,3841;48,3207;;
2021-10-10;48,2364;48,2364;48,2364;48,2364;;
2021-10-09;48,2364;48,2364;48,2364;48,2364;;
2021-10-08;48,9483;49,0232;48,1053;48,2364;;
2021-10-07;48,8171;49,0045;48,2083;48,9857;;
