Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;48,31;48,56;48,14;48,50;1.114.660;53.986.139
2021-12-29;48,72;48,87;48,07;48,29;1.053.934;51.020.436
2021-12-28;48,09;48,80;47,81;48,67;892.491;43.197.926
2021-12-27;48,08;48,43;47,87;47,99;895.088;43.027.425
2021-12-23;47,86;48,25;47,69;47,99;1.291.276;61.918.461
2021-12-22;47,75;47,75;47,30;47,63;1.401.210;66.594.180
2021-12-21;48,09;48,45;47,80;47,80;1.094.291;52.535.792
2021-12-20;48,14;48,46;47,67;47,88;1.709.684;81.993.270
2021-12-17;48,34;48,90;48,01;48,90;7.396.922;360.786.222
2021-12-16;49,21;49,61;48,18;48,36;2.511.609;121.981.427
2021-12-15;49,43;49,92;48,72;48,73;1.937.292;94.816.724
2021-12-14;50,40;50,64;49,06;49,30;1.939.998;96.621.705
2021-12-13;50,20;50,52;49,63;50,28;1.733.905;86.974.002
2021-12-10;50,22;50,50;49,94;50,14;1.420.073;71.282.151
2021-12-09;50,40;50,90;50,16;50,28;2.043.060;103.257.729
2021-12-08;50,62;50,94;50,00;50,24;3.033.776;152.650.918
2021-12-07;50,46;51,28;50,32;50,62;2.951.058;149.721.587
2021-12-06;50,52;50,76;50,00;50,44;1.983.212;99.831.037
2021-12-03;50,00;50,82;49,80;50,06;2.994.051;150.684.589
2021-12-02;47,70;49,65;47,11;49,63;10.299.611;499.759.865
2021-12-01;48,81;49,70;48,50;48,85;5.821.362;286.015.953
2021-11-30;48,64;49,63;48,06;49,00;6.413.235;314.174.039
2021-11-29;50,00;51,12;48,71;49,17;7.544.559;375.235.445
2021-11-26;51,82;51,98;49,55;49,71;4.099.267;206.702.356
2021-11-25;51,70;52,60;51,56;52,24;3.955.199;206.468.401
2021-11-24;49,42;52,60;48,49;51,90;6.032.377;305.774.089
2021-11-23;50,9409;51,2034;49,4222;49,4222;4.586.594;227.773.813
2021-11-22;51,8596;52,647;50,8846;51,0721;2.487.377;127.923.478
2021-11-19;51,2971;52,4783;51,0721;52,2346;2.013.501;104.867.190
2021-11-18;51,1846;51,4284;50,0034;51,2971;1.402.249;71.486.442
2021-11-17;51,1471;51,2221;50,7346;51,0534;853.408;43.535.789
2021-11-16;51,4096;51,7658;51,0346;51,2596;1.305.465;67.036.533
2021-11-15;50,3784;51,4846;50,3222;51,4284;2.133.050;109.203.107
2021-11-12;49,9659;50,6222;49,6472;50,4159;1.608.161;80.816.533
2021-11-11;49,3097;49,6847;48,9722;49,4785;1.131.383;55.890.626
2021-11-10;49,0285;49,8347;49,0097;49,4035;1.406.035;69.529.364
2021-11-09;48,2223;48,8598;47,8286;48,8598;1.412.024;68.483.939
2021-11-08;48,8973;49,0472;47,9973;48,1285;1.610.724;77.715.097
2021-11-05;50,2659;50,2659;48,5973;48,616;2.096.644;102.642.895
2021-11-04;50,2659;50,6972;49,2535;50,1909;1.222.731;61.341.962
2021-11-03;49,4597;50,0222;49,1035;49,8909;1.125.085;55.987.998
2021-11-02;49,516;49,7972;48,9722;49,3847;1.196.192;59.073.628
2021-11-01;49,2535;49,7972;48,7285;49,441;1.034.061;51.063.401
2021-10-29;50,3597;50,7159;48,1848;49,1785;2.234.008;110.347.243
2021-10-28;50,3597;50,7534;50,1722;50,6784;1.539.083;77.892.870
2021-10-27;50,0409;50,5472;49,8534;50,4347;860.605;43.294.939
2021-10-26;50,2847;50,6222;49,8909;50,0784;920.350;46.157.846
2021-10-25;50,8659;50,8846;50,1159;50,1909;620.576;31.245.747
2021-10-22;50,1347;51,0721;49,9847;50,6784;786.358;39.814.206
2021-10-21;50,5659;50,8846;50,3409;50,3597;800.089;40.405.752
2021-10-20;50,8284;51,1284;50,5659;50,7346;738.084;37.479.582
2021-10-19;50,6222;50,9596;50,3222;50,9596;791.141;40.192.722
2021-10-18;49,9284;50,4722;49,666;50,4722;922.998;46.424.541
2021-10-15;49,516;50,0222;49,1785;50,0222;1.556.959;77.484.668
2021-10-14;49,1597;49,666;48,7848;49,666;1.201.211;59.427.260
2021-10-13;48,5785;49,141;48,241;48,8973;1.036.773;50.645.927
2021-10-12;47,9411;48,6535;47,7536;48,6535;1.162.199;56.356.715
2021-10-11;47,9786;48,5973;47,4161;48,5973;1.573.217;75.930.389
2021-10-08;48,9535;48,991;48,166;48,166;1.612.247;78.105.341
2021-10-07;48,6535;48,8785;48,241;48,8785;997.981;48.578.385
2021-10-06;48,316;48,3348;47,5286;48,316;1.261.289;60.583.909
2021-10-05;48,8223;48,8785;48,4098;48,691;805.406;39.184.458
2021-10-04;49,4035;49,4597;48,841;48,8598;845.726;41.451.462
2021-10-01;48,4285;49,741;48,1098;49,4785;1.322.518;65.076.830
2021-09-30;49,9659;50,1534;48,6535;48,6535;1.509.116;73.909.242
2021-09-29;50,0972;50,4722;49,7035;49,7597;925.469;46.174.072
2021-09-28;51,2221;51,2596;49,741;49,9097;1.720.411;86.405.432
