Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;70,82;71,64;70,67;71,24;;
2021-12-29;70,75;72,22;70,18;70,81;;
2021-12-28;70,40;71,51;70,18;70,74;;
2021-12-27;70,19;70,73;69,90;70,40;;
2021-12-23;70,38;70,68;69,51;70,24;;
2021-12-22;69,80;70,48;69,12;70,37;;
2021-12-21;68,66;69,84;68,33;69,83;;
2021-12-20;69,57;70,06;67,28;68,53;;
2021-12-19;70,09;70,09;69,95;69,95;;
2021-12-18;70,09;70,09;70,09;70,09;;
2021-12-17;70,45;70,49;68,45;70,09;;
2021-12-16;71,23;71,30;67,82;69,63;;
2021-12-15;71,59;71,59;68,56;71,07;;
2021-12-14;73,13;74,12;71,00;71,55;;
2021-12-13;74,87;75,14;72,48;73,09;;
2021-12-12;74,80;74,89;74,80;74,80;;
2021-12-11;74,80;74,82;74,79;74,80;;
2021-12-10;77,10;77,30;74,13;74,80;;
2021-12-09;77,63;78,15;76,92;77,20;;
2021-12-08;77,93;79,19;77,22;77,65;;
2021-12-07;74,27;78,20;74,10;78,01;;
2021-12-06;75,46;75,98;73,10;74,09;;
2021-12-05;74,97;75,06;74,96;75,04;;
2021-12-04;75,12;75,12;74,86;74,86;;
2021-12-03;76,44;77,07;73,60;75,12;;
2021-12-02;78,43;79,68;75,51;76,50;;
2021-12-01;80,73;81,14;77,80;78,02;;
2021-11-30;79,85;82,78;79,45;80,31;;
2021-11-29;82,46;83,44;80,52;81,29;;
2021-11-28;80,12;81,12;79,97;81,12;;
2021-11-27;80,90;80,90;80,12;80,12;;
2021-11-26;78,69;82,89;76,88;80,79;;
2021-11-25;80,38;81,16;77,82;79,09;;
2021-11-24;79,57;80,20;77,20;80,20;;
2021-11-23;81,69;82,04;78,26;79,50;;
2021-11-22;86,29;87,23;80,79;81,71;;
2021-11-21;86,29;86,29;86,27;86,27;;
2021-11-20;86,29;86,29;86,29;86,29;;
2021-11-19;82,17;87,36;80,69;86,29;;
2021-11-18;81,79;82,96;80,80;82,15;;
2021-11-17;80,73;82,09;80,08;81,77;;
2021-11-16;80,65;81,40;80,04;80,75;;
2021-11-15;77,32;81,07;76,92;80,65;;
2021-11-14;77,34;77,35;77,34;77,35;;
2021-11-13;77,34;77,34;77,34;77,34;;
2021-11-12;75,80;77,48;75,45;77,34;;
2021-11-11;74,99;75,97;73,78;75,78;;
2021-11-10;76,12;77,19;74,34;74,97;;
2021-11-09;76,03;77,15;75,31;76,15;;
2021-11-08;76,25;76,82;75,35;76,07;;
2021-11-07;76,23;76,25;76,21;76,25;;
2021-11-06;76,21;76,23;76,21;76,23;;
2021-11-05;78,60;80,49;75,61;76,21;;
2021-11-04;76,83;78,86;75,06;78,61;;
2021-11-03;84,02;85,50;75,23;76,82;;
2021-11-02;81,27;84,23;81,25;84,06;;
2021-11-01;81,71;82,61;81,13;81,31;;
2021-10-31;81,71;81,75;81,71;81,73;;
2021-10-30;81,71;81,71;81,71;81,71;;
2021-10-29;80,41;81,98;79,93;81,71;;
2021-10-28;80,31;81,32;80,03;80,52;;
2021-10-27;80,83;81,25;80,11;80,20;;
2021-10-26;80,61;81,50;80,05;80,83;;
2021-10-25;80,08;80,66;79,73;80,53;;
2021-10-24;80,06;80,06;80,06;80,06;;
2021-10-23;80,07;80,07;80,05;80,06;;
2021-10-22;81,92;82,05;80,06;80,06;;
2021-10-21;80,35;82,14;79,26;81,84;;
2021-10-20;80,08;81,15;79,60;80,43;;
2021-10-19;80,07;80,73;79,05;80,12;;
2021-10-18;79,40;80,09;78,24;80,07;;
2021-10-17;79,52;79,55;79,50;79,52;;
2021-10-16;79,52;79,56;79,48;79,52;;
2021-10-15;78,56;79,55;77,84;79,52;;
2021-10-14;77,13;78,52;74,41;78,49;;
2021-10-13;73,91;77,35;73,61;77,07;;
2021-10-12;74,97;76,20;73,67;73,80;;
2021-10-11;77,46;77,69;74,23;75,04;;
2021-10-10;77,35;77,35;77,35;77,35;;
2021-10-09;77,33;77,35;77,33;77,35;;
2021-10-08;77,99;78,10;76,81;77,33;;
2021-10-07;77,51;78,26;75,70;78,01;;
2021-10-06;78,42;78,65;76,42;77,29;;
2021-10-05;76,98;79,45;76,86;78,70;;
2021-10-04;77,64;77,86;76,12;76,96;;
2021-10-03;77,86;77,86;77,83;77,86;;
2021-10-02;77,87;77,87;77,86;77,86;;
2021-10-01;78,81;78,99;77,06;77,88;;
2021-09-30;80,64;80,80;78,54;79,35;;
2021-09-29;81,29;81,81;79,91;80,31;;
2021-09-28;83,18;83,56;80,10;81,14;;
2021-09-27;85,56;86,00;82,27;83,21;;
2021-09-26;85,23;85,40;85,20;85,38;;
2021-09-25;85,23;85,23;85,22;85,23;;
2021-09-24;88,03;88,19;84,95;85,23;;
2021-09-23;86,63;88,99;85,98;88,15;;
2021-09-22;88,75;89,58;85,21;86,42;;
2021-09-21;91,15;92,75;87,80;88,53;;
2021-09-20;94,93;95,06;90,38;90,90;;
2021-09-19;95,50;95,54;95,36;95,40;;
2021-09-18;95,50;95,50;95,50;95,50;;
2021-09-17;94,12;96,06;94,10;95,50;;
2021-09-16;94,52;94,58;91,02;94,08;;
2021-09-15;94,90;94,90;93,12;94,62;;
2021-09-14;95,12;95,14;92,87;94,70;;
2021-09-13;97,80;98,77;94,11;95,08;;
2021-09-12;97,72;97,78;97,72;97,78;;
2021-09-11;97,74;97,74;97,74;97,74;;
2021-09-10;97,06;98,98;97,02;97,74;;
2021-09-09;96,46;97,46;95,55;96,70;;
2021-09-08;96,94;97,78;95,46;96,76;;
2021-09-07;95,59;97,12;95,45;96,92;;
2021-09-06;95,23;96,34;94,73;95,67;;
2021-09-05;95,17;95,19;95,17;95,19;;
2021-09-04;95,17;95,17;95,17;95,17;;
2021-09-03;95,42;96,22;93,96;95,17;;
2021-09-02;94,18;96,81;94,14;95,32;;
2021-09-01;94,60;95,58;93,80;94,22;;
2021-08-31;95,90;96,71;93,09;94,44;;
2021-08-30;94,36;96,15;94,28;95,76;;
2021-08-29;94,36;94,43;94,36;94,43;;
2021-08-28;94,36;94,36;94,36;94,36;;
2021-08-27;94,41;95,16;92,93;94,38;;
2021-08-26;95,20;95,42;93,74;94,35;;
2021-08-25;94,00;96,68;94,00;95,36;;
2021-08-24;94,78;95,54;94,02;94,04;;
2021-08-23;93,62;94,66;93,29;94,64;;
2021-08-22;93,32;93,32;93,32;93,32;;
2021-08-21;93,32;93,32;93,32;93,32;;
2021-08-20;92,00;93,76;91,76;93,30;;
2021-08-19;93,66;93,72;90,79;92,28;;
2021-08-18;92,60;94,48;92,30;93,74;;
2021-08-17;93,20;93,20;91,58;92,38;;
2021-08-16;93,64;94,01;92,34;93,36;;
2021-08-15;93,90;93,90;93,86;93,88;;
2021-08-14;93,92;93,92;93,90;93,90;;
2021-08-13;92,34;94,33;92,19;93,92;;
