"","company","Exchange","perm_impact"
"1","BASF","LS",0.016780400859325
"2","BASF","Xetra",9.73811948376555
"3","Bayer","LS",-0.0168996603680166
"4","Bayer","Xetra",51.7913323006424
"5","Covestro","LS",23.38475249001
"6","Covestro","Xetra",13.2868496371296
"7","Daimler","LS",89.0532064354289
"8","Daimler","Xetra",32.6000380837091
"9","DeliveryHero","LS",38.2274528998321
"10","DeliveryHero","Xetra",11.0974875314911
"11","DeutscheBank","LS",136.123621520981
"12","DeutscheBank","Xetra",24.8519880382989
"13","EON","LS",54.3577682547324
"14","EON","Xetra",22.4241522450828
"15","HelloFresh","LS",5.88978936512262
"16","HelloFresh","Xetra",2.96748389231794
"17","Infineon","LS",-75.9405732125549
"18","Infineon","Xetra",-14.4564798285191
"19","SAP","LS",24.9603820861479
"20","SAP","Xetra",10.9628031991439
"21","Siemens","LS",13.1844990958668
"22","Siemens","Xetra",5.02320507208666
"23","Vonovia","LS",9.18777577548558
"24","Vonovia","Xetra",5.05816155998225
"25","Zalando","LS",73.1203314709834
"26","Zalando","Xetra",25.045166434121
