"X1","X2","X3","X4"
"Adidas","pre","LS",1.11485273699305
"Adidas","pre","Xetra",-0.0125702918065145
"Adidas","post","LS",0.596404312444172
"Adidas","post","Xetra",0.34155150840606
"Airbus","pre","LS",1.05822370759436
"Airbus","pre","Xetra",-0.0382245153301173
"Airbus","post","LS",0.576540455685567
"Airbus","post","Xetra",0.351191023412715
"Allianz","pre","LS",0.974503665668297
"Allianz","pre","Xetra",0.0575980270181787
"Allianz","post","LS",0.440294032411022
"Allianz","post","Xetra",0.485636781859127
"BASF","pre","LS",0.517397729230488
"BASF","pre","Xetra",0.393346412676621
"BASF","post","LS",0.518047974773082
"BASF","post","Xetra",0.471573146378337
"Bayer","pre","LS",0.938447276120402
"Bayer","pre","Xetra",-0.0161087652272544
"Bayer","post","LS",0.583843210841106
"Bayer","post","Xetra",0.44608552734385
"Beiersdorf","pre","LS",1.17885089530272
"Beiersdorf","pre","Xetra",-0.191593312141814
"Beiersdorf","post","LS",0.527093322265221
"Beiersdorf","post","Xetra",0.418858399724409
"BMW","pre","LS",0.585750628390522
"BMW","pre","Xetra",0.3163788236844
"BMW","post","LS",0.2065168612454
"BMW","post","Xetra",0.787313993442923
"Brenntag","pre","LS",0.492720220560188
"Brenntag","pre","Xetra",0.525392621410026
"Brenntag","post","LS",0.336704697444372
"Brenntag","post","Xetra",0.704480117554125
"Continental","pre","LS",0.212566526168255
"Continental","pre","Xetra",0.759499734185132
"Continental","post","LS",0.291363441311336
"Continental","post","Xetra",0.688663265645507
"Covestro","pre","LS",0.808900084318941
"Covestro","pre","Xetra",0.217123324135506
"Covestro","post","LS",0.0116614997116309
"Covestro","post","Xetra",1.00204513463219
"Daimler","pre","LS",0.324407995517121
"Daimler","pre","Xetra",0.548201112752831
"Daimler","post","LS",0.325082484209662
"Daimler","post","Xetra",0.639292104119734
"DeliveryHero","pre","LS",0.552018953224651
"DeliveryHero","pre","Xetra",0.343237266420518
"DeliveryHero","post","LS",0.296602611549712
"DeliveryHero","post","Xetra",0.648776914351284
"DeutscheBank","pre","LS",0.857382421134345
"DeutscheBank","pre","Xetra",0.109602396237803
"DeutscheBank","post","LS",0.862531700631696
"DeutscheBank","post","Xetra",0.150186786639591
"DeutscheBoerse","pre","LS",0.777438408416456
"DeutscheBoerse","pre","Xetra",0.275509469818445
"DeutscheBoerse","post","LS",0.694149987114349
"DeutscheBoerse","post","Xetra",0.349188834874519
