"company","AIC_LuS_lag2","AIC_LuS_lag3","AIC_LuS_lag4","AIC_Xetra_lag2","AIC_Xetra_lag3","AIC_Xetra_lag4","BIC_LuS_lag2","BIC_LuS_lag3","BIC_LuS_lag4","BIC_Xetra_lag2","BIC_Xetra_lag3","BIC_Xetra_lag4","Lag_min_AIC_LuS","Lag_min_AIC_Xetra","Lag_min_BIC_LuS","Lag_min_BIC_Xetra"
"Adidas",15166.6718948096,15162.8011237927,15163.8099322116,15103.2693155753,15102.7737429329,15103.3446233846,15196.7633755021,15204.9291967623,15217.9745974582,15133.3607962679,15144.9018159025,15157.5092886313,2,2,1,1
"Airbus",5372.87121983644,5374.28158909532,5371.14396052422,5362.60203054349,5363.69210863789,5359.2558462318,5398.56158500666,5410.24810033363,5417.38661783062,5388.29239571371,5399.6586198762,5405.4985035382,3,3,1,1
"Allianz",6055.51846806658,6041.7722384684,6027.66271907079,6048.65186563285,6036.14857013678,6024.28160090229,6081.2088332368,6077.73874970671,6073.90537637719,6074.34223080307,6072.11508137509,6070.52425820869,3,3,3,3
"BASF",3579.88134293888,3583.45366131832,3578.23839852917,3542.86735573535,3544.56791293227,3540.85206916542,3605.5717081091,3619.42017255663,3624.48105583557,3568.55772090557,3580.53442417058,3587.09472647182,3,3,1,1
"Bayer",4171.6662673827,4172.25925091637,4174.01829427768,4063.65412434068,4066.16403288925,4066.4039112348,4197.35663255293,4208.22576215468,4220.26095158408,4089.3444895109,4102.13054412756,4112.6465685412,1,1,1,1
"Beiersdorf",3922.12458136215,3921.01026204561,3918.81859415747,3859.28395170754,3861.38167367543,3861.01235863899,3947.81494653237,3956.97677328392,3965.06125146387,3884.97431687776,3897.34818491374,3907.25501594539,3,1,1,1
"BMW",3965.32428876957,3961.0138223601,3958.29427971926,3921.47451544518,3917.20482520456,3913.99953908286,3991.01465393979,3996.98033359841,4004.53693702566,3947.1648806154,3953.17133644287,3960.24219638926,3,3,1,1
"Brenntag",3102.35573612536,3099.88580623596,3094.42206569126,2928.04220808679,2926.4289929373,2921.19706134628,3128.04610129558,3135.85231747427,3140.66472299766,2953.73257325701,2962.39550417561,2967.43971865268,3,3,1,1
"Continental",6032.66680859802,6034.42570786695,6036.1216228985,6007.75209405812,6009.33340482968,6012.08747823649,6058.35717376824,6070.39221910526,6082.3642802049,6033.44245922834,6045.29991606799,6058.33013554289,1,1,1,1
"Covestro",3871.73528078654,3874.67560443659,3874.11562621834,3740.17971002092,3743.39626508291,3741.10561917333,3897.42564595676,3910.6421156749,3920.35828352474,3765.87007519115,3779.36277632122,3787.34827647973,1,1,1,1
"Daimler",3073.39342535749,3076.30404526813,3077.61535439709,3039.65196733756,3040.68252456313,3041.55853334355,3099.08379052771,3112.27055650645,3123.85801170349,3065.34233250779,3076.64903580144,3087.80119064995,1,1,1,1
"DeliveryHero",4859.88990690286,4863.59610329012,4866.52079389106,4800.031493127,4803.04449196898,4804.88950557434,4885.0574393243,4898.83064868013,4911.82235224965,4825.19902554844,4838.27903735899,4850.19106393293,1,1,1,1
"DeutscheBank",-105.748410462885,-107.400918448016,-110.148987459473,-157.272922816647,-163.776331373516,-165.250789765819,-80.0580452926634,-71.4344072097051,-63.9063301530736,-131.582557646426,-127.809820135205,-119.008132459419,3,3,1,1
"DeutscheBoerse",5082.29722404757,5063.92181672333,5063.6335181981,4961.87368191973,4947.35495718093,4948.17938554401,5107.98758921779,5099.88832796164,5109.8761755045,4987.56404708996,4983.32146841924,4994.42204285041,3,2,2,2
"DeutschePost",2003.63580913958,2005.94559712374,2006.94108596301,1990.91644402641,1990.86346849651,1992.94050453925,2029.3261743098,2041.91210836205,2053.18374326941,2016.60680919664,2026.82997973482,2039.18316184565,1,2,1,1
"DeutscheTelekom",-720.694253872709,-734.245625247368,-734.546052928011,-788.4708926539,-804.522827197643,-804.612974833635,-695.003888702488,-698.279114009057,-688.303395621612,-762.780527483678,-768.556315959333,-758.370317527236,3,3,2,2
"EON",-1517.19498005506,-1521.06882029903,-1531.92237291219,-1612.11286602567,-1612.34301241284,-1618.25674092752,-1491.50461488484,-1485.10230906071,-1485.6797156058,-1586.42250085545,-1576.37650117453,-1572.01408362112,3,3,1,1
